A,B,Weight,5,10,15,Date
828589940,1498399530,8572,18,14,11,2017-05-13
805113191,1498399530,56,3,2,1,2017-05-13
463397903,1889314729,68858,4,4,4,2017-05-13
342847286,554892047,24747,4,4,4,2017-05-13
463397903,1270289144,12235,219,194,176,2017-05-13
2104873054,1316102244,620,21,17,10,2017-05-13
1534063990,1270878398,6,0,0,0,2017-05-13
1585850597,1506301109,26,1,1,1,2017-05-13
828589940,1898642600,138,4,3,2,2017-05-13
463397903,7957504,60115,13,11,11,2017-05-13
828589940,1465819709,149,6,5,3,2017-05-13
828589940,615535993,684,15,12,11,2017-05-13
1343237680,1270878398,2,0,0,0,2017-05-13
1534063990,313450190,50,3,2,1,2017-05-13
2036048124,1961345627,400,6,6,6,2017-05-13
1519644322,1270289144,54657,3,3,3,2017-05-13
828589940,778544259,78,3,3,3,2017-05-13
1838426739,1081825188,1824,12,11,9,2017-05-13
2104873054,1081825188,294,2,2,2,2017-05-13
1343237680,1972115615,1,0,0,0,2017-05-13
1961345627,1620846910,4057,17,17,16,2017-05-13
1585850597,1764017416,380,4,4,4,2017-05-13
1665081654,1438398871,8795,3,3,3,2017-05-13
1744054166,1534063990,3764,2,2,2,2017-05-13
1465819709,1620846910,10690,8,7,7,2017-05-13
2104873054,313450190,14,1,1,0,2017-05-13
7957504,805113191,32,3,0,0,2017-05-13
1838426739,1620846910,13074,2,2,2,2017-05-13
342847286,463397903,14151,165,151,136,2017-05-13
1316102244,1494434346,9,1,0,0,2017-05-13
7957504,717844050,1272,37,32,26,2017-05-13
2036048124,1498399530,369,15,12,10,2017-05-13
1889314729,828589940,35889,8,8,7,2017-05-13
333175041,1620846910,539,1,1,1,2017-05-13
828589940,805113191,12,1,0,0,2017-05-13
1744054166,1498399530,67,2,2,2,2017-05-13
342847286,1498399530,10308,36,35,34,2017-05-13
1343237680,1498399530,766,17,13,12,2017-05-13
828589940,1730609357,255,10,8,7,2017-05-13
2104873054,2036048124,24809,10,10,10,2017-05-13
1730609357,1498399530,66,3,1,1,2017-05-13
1519644322,1498399530,12735,61,58,55,2017-05-13
2104873054,778544259,29,1,1,1,2017-05-13
1961345627,1506301109,107,4,4,3,2017-05-13
615535993,1506301109,24,2,0,0,2017-05-13
342847286,1585850597,5,0,0,0,2017-05-13
828589940,1343237680,321,7,7,6,2017-05-13
1558837466,1212892288,10,1,0,0,2017-05-13
1091682207,1498399530,198,7,4,2,2017-05-13
1506301109,1873234880,4057,6,6,6,2017-05-13
1519644322,345466931,58494,392,364,341,2017-05-13
1898642600,1506301109,26467,214,199,170,2017-05-13
1498399530,1620846910,140,4,3,3,2017-05-13
2104873054,1873234880,4189,2,2,2,2017-05-13
1873234880,1498399530,54,4,1,1,2017-05-13
828589940,508414954,50612,11,8,7,2017-05-13
1519644322,7957504,55744,11,10,9,2017-05-13
1764017416,1498399530,441,12,12,7,2017-05-13
7957504,508414954,55932,12,12,11,2017-05-13
828589940,2104873054,141,6,5,4,2017-05-13
1585850597,1558837466,44037,6,6,6,2017-05-13
7957504,1961345627,944,27,20,17,2017-05-13
342847286,1519644322,22692,3,3,3,2017-05-13
1343237680,1764017416,38554,4,4,4,2017-05-13
7957504,615535993,604,22,17,13,2017-05-13
1558837466,1932226176,11257,47,39,31,2017-05-13
1972115615,1730609357,41860,19,19,18,2017-05-13
1851286936,1498399530,1953,37,29,27,2017-05-13
1665081654,1898642600,37544,4,4,4,2017-05-13
1270289144,1889314729,50971,3,3,3,2017-05-13
1972115615,1498399530,194,5,5,4,2017-05-13
1898642600,1494434346,17028,111,96,87,2017-05-13
1494434346,2036048124,21355,18,17,16,2017-05-13
333175041,1081825188,1455,2,2,2,2017-05-13
7957504,1343237680,215,12,9,6,2017-05-13
1838426739,615535993,53,2,2,2,2017-05-13
1889314729,508414954,58340,19,19,19,2017-05-13
1961345627,1081825188,45,3,2,1,2017-05-13
