A,B,Weight,5,10,15,Date
828589940,1498399530,243,13,8,5,2017-05-14
463397903,1889314729,67728,4,4,4,2017-05-14
463397903,1270289144,81888,5,5,5,2017-05-14
1534063990,1972115615,58,2,2,2,2017-05-14
2104873054,1316102244,13,1,0,0,2017-05-14
1506301109,1270878398,227,2,2,2,2017-05-14
2104873054,1534063990,44163,3,3,3,2017-05-14
463397903,7957504,69768,4,4,4,2017-05-14
2036048124,1494434346,22503,84,80,72,2017-05-14
1243785496,1498399530,30,2,2,1,2017-05-14
1534063990,313450190,82,2,2,2,2017-05-14
2036048124,1961345627,105,3,3,3,2017-05-14
1239571429,1506301109,2077,4,4,3,2017-05-14
1239571429,1961345627,55,2,2,1,2017-05-14
2104873054,1764017416,25397,41,38,32,2017-05-14
2036048124,1898642600,14185,4,4,4,2017-05-14
345466931,463397903,7939,15,15,15,2017-05-14
1961345627,1620846910,940,12,11,11,2017-05-14
1764017416,2044461369,240,8,7,7,2017-05-14
1239571429,1764017416,72,2,2,2,2017-05-14
1465819709,1620846910,13537,21,19,17,2017-05-14
778544259,1764017416,7608,6,4,3,2017-05-14
1744054166,1534063990,4498,2,2,2,2017-05-14
1316102244,1239571429,1121,4,4,4,2017-05-14
2036048124,2104873054,25257,17,13,12,2017-05-14
342847286,1534063990,39,2,1,1,2017-05-14
1725635615,1764017416,10,1,0,0,2017-05-14
1558837466,1620846910,22,1,1,1,2017-05-14
1665081654,615535993,1,0,0,0,2017-05-14
333175041,1081825188,814,3,3,3,2017-05-14
828589940,1270289144,83924,3,3,3,2017-05-14
2104873054,1961345627,1,0,0,0,2017-05-14
1744054166,1498399530,186,6,6,5,2017-05-14
342847286,1498399530,3264,35,32,30,2017-05-14
1316102244,1665081654,2713,22,21,20,2017-05-14
1343237680,1498399530,801,20,16,11,2017-05-14
1972115615,342847286,2,0,0,0,2017-05-14
2104873054,1898642600,12651,6,6,6,2017-05-14
1730609357,1498399530,194,9,3,2,2017-05-14
1081825188,1838426739,24,1,1,1,2017-05-14
1239571429,805113191,1041,1,1,1,2017-05-14
615535993,1764017416,3,0,0,0,2017-05-14
508414954,1316102244,1,0,0,0,2017-05-14
1239571429,1081825188,12,1,1,0,2017-05-14
1091682207,1498399530,380,11,9,7,2017-05-14
1506301109,1873234880,2472,15,15,14,2017-05-14
1506301109,805113191,2,0,0,0,2017-05-14
1498399530,1620846910,185,8,5,4,2017-05-14
1873234880,1498399530,15,1,0,0,2017-05-14
1558837466,333175041,47570,5,5,5,2017-05-14
828589940,508414954,34882,2,2,2,2017-05-14
1239571429,1665081654,3,0,0,0,2017-05-14
1519644322,7957504,69877,4,4,4,2017-05-14
1764017416,1498399530,434,21,18,10,2017-05-14
1316102244,1506301109,19,2,1,0,2017-05-14
508414954,1498399530,573,13,9,7,2017-05-14
1665081654,1081825188,3,0,0,0,2017-05-14
1506301109,1430506477,254,1,1,1,2017-05-14
1838426739,1465819709,26623,81,78,76,2017-05-14
342847286,1961345627,2,0,0,0,2017-05-14
1851286936,1498399530,755,30,24,17,2017-05-14
333175041,1932226176,3,0,0,0,2017-05-14
1270289144,1889314729,71462,2,2,2,2017-05-14
1972115615,1498399530,130,6,4,2,2017-05-14
1725635615,1620846910,6837,1,1,1,2017-05-14
1558837466,1730609357,1,0,0,0,2017-05-14
1838426739,615535993,27,1,1,1,2017-05-14
1889314729,508414954,63996,277,249,225,2017-05-14
1932226176,1498399530,40386,3,2,2,2017-05-14
1764017416,805113191,959,1,1,1,2017-05-14
1932226176,1558837466,11022,191,170,145,2017-05-14
1725635615,1838426739,17171,44,42,41,2017-05-14
333175041,1343237680,28209,448,405,353,2017-05-14
1438398871,1665081654,5305,3,3,3,2017-05-14
2044461369,1498399530,336,13,9,8,2017-05-14
342847286,1506301109,13,1,0,0,2017-05-14
1558837466,1343237680,60355,33,31,30,2017-05-14
828589940,1519644322,74255,5,5,5,2017-05-14
615535993,1620846910,2086,25,22,20,2017-05-14
342847286,2104873054,1081,38,31,23,2017-05-14
2036048124,1873234880,47,2,2,2,2017-05-14
342847286,1764017416,69,3,3,3,2017-05-14
1534063990,1730609357,88,2,2,2,2017-05-14
1343237680,1243785496,5,0,0,0,2017-05-14
1343237680,1534063990,25,1,1,1,2017-05-14
2104873054,805113191,2186,1,1,1,2017-05-14
1838426739,1620846910,19784,3,3,2,2017-05-14
828589940,463397903,82373,5,5,5,2017-05-14
1558837466,828589940,11,1,1,0,2017-05-14
1725635615,1898642600,2967,1,1,1,2017-05-14
1725635615,1091682207,60369,22,21,19,2017-05-14
1665081654,1494434346,12,0,0,0,2017-05-14
1494434346,1498399530,413,10,10,6,2017-05-14
1898642600,1620846910,2207,19,17,17,2017-05-14
463397903,1498399530,392,10,8,7,2017-05-14
554892047,828589940,83150,9,9,9,2017-05-14
1343237680,1932226176,20965,18,18,18,2017-05-14
342847286,1081825188,2,0,0,0,2017-05-14
1764017416,1961345627,2610,13,11,10,2017-05-14
342847286,1239571429,1,0,0,0,2017-05-14
2036048124,1243785496,1,0,0,0,2017-05-14
2104873054,1498399530,750,18,17,17,2017-05-14
1343237680,1239571429,167,3,3,3,2017-05-14
345466931,1498399530,30228,6,6,5,2017-05-14
1316102244,2036048124,143,2,2,2,2017-05-14
