A,B,Weight,5,10,15,Date
1585850597,1343237680,40776,6,6,6,2017-05-11
1932226176,333175041,11367,56,52,46,2017-05-11
342847286,554892047,53612,5,5,5,2017-05-11
463397903,1270289144,30330,2,2,2,2017-05-11
1534063990,1744054166,18925,106,96,87,2017-05-11
1972115615,1316102244,1,0,0,0,2017-05-11
463397903,7957504,60706,4,4,4,2017-05-11
2036048124,1494434346,6803,44,38,31,2017-05-11
1243785496,1498399530,56,3,2,1,2017-05-11
1534063990,313450190,14,1,0,0,2017-05-11
1665081654,805113191,1,0,0,0,2017-05-11
1239571429,1506301109,1,0,0,0,2017-05-11
828589940,1519644322,61429,5,5,5,2017-05-11
1239571429,1961345627,373,8,8,8,2017-05-11
2104873054,1764017416,869,6,5,4,2017-05-11
2036048124,1898642600,15227,10,9,8,2017-05-11
345466931,463397903,5224,203,171,137,2017-05-11
333175041,1506301109,393,12,10,7,2017-05-11
1961345627,1620846910,2889,14,14,14,2017-05-11
1764017416,2044461369,63,3,3,1,2017-05-11
1665081654,1438398871,12731,3,2,2,2017-05-11
1889314729,1270289144,59976,4,4,4,2017-05-11
1889314729,463397903,62049,5,5,5,2017-05-11
2036048124,2104873054,228,3,3,3,2017-05-11
2104873054,313450190,54,3,2,2,2017-05-11
1725635615,1764017416,3,0,0,0,2017-05-11
1744054166,1498399530,103,5,4,2,2017-05-11
828589940,554892047,59278,4,4,4,2017-05-11
1889314729,828589940,34756,3,3,3,2017-05-11
1494434346,1898642600,28,2,1,0,2017-05-11
1316102244,1091682207,74,4,3,3,2017-05-11
1091682207,1620846910,18,2,0,0,2017-05-11
342847286,1498399530,337,8,6,6,2017-05-11
1961345627,2036048124,3,0,0,0,2017-05-11
2104873054,1898642600,100,2,2,2,2017-05-11
1316102244,2104873054,2236,6,6,6,2017-05-11
1343237680,1665081654,1,0,0,0,2017-05-11
1091682207,1498399530,1260,35,31,21,2017-05-11
1506301109,1898642600,42894,4,3,3,2017-05-11
2104873054,615535993,7,0,0,0,2017-05-11
1498399530,1620846910,2332,54,50,39,2017-05-11
1961345627,1764017416,181,4,4,4,2017-05-11
1665081654,1494434346,38,2,2,2,2017-05-11
1873234880,1498399530,393,13,9,8,2017-05-11
1498399530,1730609357,419,25,13,10,2017-05-11
828589940,508414954,61193,2,2,2,2017-05-11
1506301109,1665081654,56664,9,8,7,2017-05-11
1725635615,1534063990,2,0,0,0,2017-05-11
1764017416,1498399530,613,20,19,16,2017-05-11
7957504,508414954,35298,2,2,2,2017-05-11
1498399530,1961345627,2668,74,65,54,2017-05-11
1498399530,1889314729,82,4,1,1,2017-05-11
1889314729,554892047,76322,5,5,5,2017-05-11
2036048124,1316102244,5359,3,3,3,2017-05-11
2104873054,1730609357,220,6,5,5,2017-05-11
1665081654,1081825188,2,0,0,0,2017-05-11
1212892288,1898642600,4,0,0,0,2017-05-11
1838426739,1465819709,8721,315,260,205,2017-05-11
1851286936,1498399530,1107,39,27,20,2017-05-11
1212892288,1316102244,31,1,1,1,2017-05-11
1498399530,1081825188,1464,52,39,32,2017-05-11
1838426739,615535993,2,0,0,0,2017-05-11
1665081654,313450190,6409,191,162,138,2017-05-11
1932226176,1343237680,1713,2,2,2,2017-05-11
1961345627,1081825188,35,1,1,1,2017-05-11
1764017416,805113191,1,0,0,0,2017-05-11
7957504,1519644322,61065,5,5,5,2017-05-11
1343237680,1270878398,50,2,2,2,2017-05-11
1932226176,1558837466,21239,162,149,133,2017-05-11
1494434346,1081825188,1272,9,7,7,2017-05-11
333175041,1343237680,17047,42,39,35,2017-05-11
1585850597,717844050,209,7,6,5,2017-05-11
2044461369,1498399530,2250,41,33,30,2017-05-11
1506301109,1620846910,5,0,0,0,2017-05-11
1558837466,1343237680,553,7,5,5,2017-05-11
463397903,1519644322,63286,5,5,5,2017-05-11
463397903,828589940,64038,5,5,5,2017-05-11
1558837466,1494434346,37,2,2,1,2017-05-11
615535993,1620846910,113,3,3,3,2017-05-11
1506301109,2044461369,1,0,0,0,2017-05-11
1519644322,342847286,71152,172,152,137,2017-05-11
2036048124,1873234880,846,15,12,12,2017-05-11
1506301109,1243785496,14,2,0,0,2017-05-11
490315436,649072229,44884,743,661,560,2017-05-11
1239571429,1316102244,64557,37,33,29,2017-05-11
342847286,1889314729,75201,104,102,102,2017-05-11
1270289144,342847286,64827,325,310,298,2017-05-11
1270289144,828589940,61185,3,3,3,2017-05-11
1534063990,1620846910,5,0,0,0,2017-05-11
1725635615,1091682207,40828,14,9,8,2017-05-11
1498399530,313450190,332,16,12,9,2017-05-11
778544259,1494434346,10,1,0,0,2017-05-11
1239571429,1873234880,5622,5,5,5,2017-05-11
1498399530,717844050,700,30,22,16,2017-05-11
1494434346,1498399530,871,21,20,18,2017-05-11
1665081654,1898642600,43249,27,23,21,2017-05-11
1270289144,508414954,622,29,22,16,2017-05-11
463397903,342847286,68675,9,9,9,2017-05-11
2104873054,1081825188,2243,7,6,6,2017-05-11
1534063990,2104873054,2249,91,72,56,2017-05-11
2036048124,1239571429,5197,1,1,1,2017-05-11
508414954,342847286,58109,19,19,18,2017-05-11
1494434346,1873234880,1234,20,18,17,2017-05-11
1498399530,1972115615,566,23,17,13,2017-05-11
2104873054,1498399530,703,23,20,16,2017-05-11
1498399530,463397903,108,6,3,2,2017-05-11
