A,B,Weight,5,10,15,Date
463397903,1889314729,45915,4,4,4,2017-05-15
342847286,463397903,26,1,1,1,2017-05-15
463397903,1270289144,40690,2,2,2,2017-05-15
2104873054,1316102244,162,5,4,3,2017-05-15
1534063990,1744054166,6812,13,12,11,2017-05-15
1730609357,1558837466,3,0,0,0,2017-05-15
1081825188,2104873054,2231,7,7,7,2017-05-15
2036048124,1494434346,13347,5,5,5,2017-05-15
1243785496,1498399530,200,5,5,5,2017-05-15
1534063990,313450190,31,2,2,1,2017-05-15
2036048124,1961345627,12,1,1,0,2017-05-15
508414954,7957504,75999,3,3,3,2017-05-15
1519644322,1270289144,30600,5,5,5,2017-05-15
342847286,1270878398,20,1,1,0,2017-05-15
1764017416,2044461369,73,3,3,2,2017-05-15
1665081654,1438398871,15657,274,231,184,2017-05-15
1438398871,1498399530,169,5,3,3,2017-05-15
342847286,1430506477,1,0,0,0,2017-05-15
1465819709,1620846910,4040,15,11,11,2017-05-15
2036048124,2104873054,26285,10,10,10,2017-05-15
342847286,1534063990,358,4,4,4,2017-05-15
2036048124,1498399530,258,13,9,4,2017-05-15
828589940,1270289144,60987,2,2,2,2017-05-15
2104873054,1961345627,1110,20,18,17,2017-05-15
1744054166,1498399530,87,5,3,3,2017-05-15
342847286,1498399530,3157,48,37,34,2017-05-15
1343237680,1498399530,354,15,13,9,2017-05-15
1972115615,342847286,1,0,0,0,2017-05-15
1081825188,2036048124,1107,16,13,13,2017-05-15
7957504,1270289144,77631,3,3,3,2017-05-15
7957504,463397903,70626,4,4,4,2017-05-15
615535993,1506301109,48,3,2,2,2017-05-15
1519644322,1243785496,130,7,5,4,2017-05-15
1091682207,1498399530,319,10,10,9,2017-05-15
1889314729,342847286,53,2,2,2,2017-05-15
1343237680,333175041,62661,7,7,7,2017-05-15
1498399530,1620846910,64,2,2,2,2017-05-15
7957504,1889314729,70634,4,4,4,2017-05-15
1764017416,2036048124,18410,18,16,16,2017-05-15
1498399530,1730609357,40,2,2,1,2017-05-15
1534063990,1316102244,25,1,1,1,2017-05-15
1764017416,1498399530,691,11,10,10,2017-05-15
1764017416,2104873054,34634,11,11,10,2017-05-15
2104873054,1730609357,14007,471,381,311,2017-05-15
1343237680,1764017416,43667,3,3,3,2017-05-15
2104873054,1239571429,1,0,0,0,2017-05-15
1838426739,1465819709,8,0,0,0,2017-05-15
1558837466,1932226176,5207,4,4,4,2017-05-15
1972115615,1730609357,77233,40,40,40,2017-05-15
1851286936,1498399530,805,24,20,17,2017-05-15
1898642600,1620846910,15412,63,57,55,2017-05-15
1270289144,1889314729,59319,1,1,1,2017-05-15
1838426739,1898642600,15440,23,20,16,2017-05-15
1898642600,1725635615,9694,135,122,101,2017-05-15
1270878398,1506301109,32,1,1,1,2017-05-15
1838426739,615535993,17,1,1,0,2017-05-15
1725635615,1620846910,19318,1,1,1,2017-05-15
1932226176,1498399530,33,1,1,1,2017-05-15
1725635615,1838426739,37876,8,8,8,2017-05-15
508414954,554892047,70487,138,135,134,2017-05-15
2044461369,1498399530,8,1,0,0,2017-05-15
1961345627,1239571429,428,7,7,6,2017-05-15
1558837466,1343237680,54631,74,72,69,2017-05-15
1270289144,1498399530,84,2,1,1,2017-05-15
333175041,1494434346,1,0,0,0,2017-05-15
615535993,1316102244,2,0,0,0,2017-05-15
490315436,1506301109,1046,2,2,2,2017-05-15
615535993,1620846910,13,1,1,0,2017-05-15
1898642600,1498399530,132,2,2,2,2017-05-15
1091682207,1465819709,4975,27,24,24,2017-05-15
1838426739,2044461369,9,1,0,0,2017-05-15
1506301109,1243785496,4,0,0,0,2017-05-15
342847286,1764017416,2404,7,7,6,2017-05-15
1764017416,1506301109,5,0,0,0,2017-05-15
2104873054,805113191,11748,13,11,11,2017-05-15
1838426739,1620846910,33250,3,3,3,2017-05-15
828589940,463397903,34938,2,2,2,2017-05-15
615535993,1239571429,60,3,2,2,2017-05-15
1519644322,828589940,46704,11,8,7,2017-05-15
1438398871,342847286,23054,6,6,6,2017-05-15
1889314729,1498399530,386,11,8,7,2017-05-15
1239571429,1873234880,1696,3,1,1,2017-05-15
1494434346,1498399530,335,10,9,9,2017-05-15
333175041,1932226176,35,2,2,1,2017-05-15
463397903,1498399530,322,9,8,7,2017-05-15
554892047,828589940,68325,127,127,125,2017-05-15
1343237680,1932226176,23263,31,29,29,2017-05-15
1494434346,1851286936,29,2,2,0,2017-05-15
1764017416,1961345627,463,7,6,6,2017-05-15
342847286,1239571429,129,3,3,3,2017-05-15
1972115615,1498399530,142,7,5,3,2017-05-15
1873234880,1506301109,238,1,1,1,2017-05-15
1764017416,1494434346,23297,8,8,8,2017-05-15
1494434346,1873234880,4762,2,2,2,2017-05-15
508414954,828589940,75985,3,3,3,2017-05-15
2104873054,1498399530,310,13,13,10,2017-05-15
508414954,1889314729,50924,494,434,378,2017-05-15
1212892288,342847286,9,1,0,0,2017-05-15
1764017416,615535993,1,0,0,0,2017-05-15
508414954,463397903,65391,3,3,3,2017-05-15
1519644322,1851286936,392,10,9,9,2017-05-15
1494434346,2104873054,28093,9,9,9,2017-05-15
2104873054,2044461369,96,4,4,4,2017-05-15
1519644322,2044461369,296,7,5,5,2017-05-15
1239571429,1725635615,8,1,0,0,2017-05-15
1081825188,1498399530,11,0,0,0,2017-05-15
1730609357,313450190,20160,587,497,414,2017-05-15
1494434346,1665081654,55,2,2,2,2017-05-15
1239571429,2036048124,5,0,0,0,2017-05-15
1558837466,1961345627,985,6,6,6,2017-05-15
805113191,1498399530,177,8,6,5,2017-05-15
1558837466,717844050,12639,475,394,314,2017-05-15
333175041,717844050,52,3,3,2,2017-05-15
1212892288,1744054166,4300,3,3,3,2017-05-15
1343237680,1494434346,3,0,0,0,2017-05-15
1494434346,778544259,4759,38,35,29,2017-05-15
1519644322,1972115615,1337,39,26,21,2017-05-15
1534063990,1665081654,60,2,2,2,2017-05-15
1316102244,1239571429,61033,3,3,3,2017-05-15
2036048124,805113191,6768,103,93,78,2017-05-15
342847286,1316102244,50,3,3,2,2017-05-15
1239571429,1764017416,760,16,15,13,2017-05-15
1239571429,1494434346,64,2,2,1,2017-05-15
554892047,1270289144,68498,127,126,124,2017-05-15
1239571429,1620846910,21,1,1,1,2017-05-15
342847286,1091682207,2,0,0,0,2017-05-15
1519644322,1730609357,1243,46,35,31,2017-05-15
2104873054,313450190,17439,465,409,355,2017-05-15
342847286,1519644322,45,2,2,2,2017-05-15
342847286,1961345627,1927,46,41,37,2017-05-15
1558837466,2036048124,82,2,2,2,2017-05-15
2044461369,1506301109,265,9,9,8,2017-05-15
1558837466,1519644322,44,3,1,0,2017-05-15
1494434346,1243785496,1,0,0,0,2017-05-15
342847286,1494434346,208,3,3,3,2017-05-15
1725635615,615535993,8,1,0,0,2017-05-15
1270289144,508414954,11915,2,2,2,2017-05-15
1316102244,1498399530,133,3,1,1,2017-05-15
1838426739,1498399530,195,7,5,4,2017-05-15
1212892288,1316102244,167,2,2,2,2017-05-15
1239571429,1091682207,16,1,1,0,2017-05-15
1519644322,1665081654,1607,34,27,22,2017-05-15
1212892288,1498399530,371,11,9,7,2017-05-15
1519644322,1889314729,42664,7,7,7,2017-05-15
1506301109,1081825188,120,4,3,3,2017-05-15
805113191,1764017416,9440,15,15,14,2017-05-15
2104873054,1665081654,4,0,0,0,2017-05-15
1764017416,1558837466,38300,15,13,9,2017-05-15
1081825188,1764017416,43,1,1,1,2017-05-15
1558837466,1243785496,1,0,0,0,2017-05-15
1239571429,1898642600,61755,3,3,3,2017-05-15
1506301109,1438398871,7195,163,129,109,2017-05-15
1212892288,1534063990,5805,4,4,4,2017-05-15
554892047,1498399530,808,5,4,3,2017-05-15
7957504,1498399530,423,8,6,5,2017-05-15
1764017416,1620846910,2,0,0,0,2017-05-15
1081825188,1494434346,6023,11,11,11,2017-05-15
1091682207,1838426739,35405,8,7,6,2017-05-15
1725635615,1081825188,6,1,0,0,2017-05-15
554892047,463397903,69870,134,132,129,2017-05-15
1534063990,1558837466,14,2,0,0,2017-05-15
