A,B,Weight,5,10,15,Date
1465819709,1620846910,428,5,5,4,2017-05-16
463397903,1270289144,55493,3,3,3,2017-05-16
2104873054,1316102244,1132,2,2,2,2017-05-16
1534063990,1744054166,7286,162,145,113,2017-05-16
1725635615,1665081654,43,2,2,1,2017-05-16
1519644322,1270289144,63269,3,3,3,2017-05-16
1838426739,1081825188,5,0,0,0,2017-05-16
1898642600,1316102244,8214,52,48,42,2017-05-16
778544259,1764017416,8625,161,143,132,2017-05-16
1889314729,1270289144,70495,2,2,2,2017-05-16
1889314729,463397903,55876,2,2,2,2017-05-16
2104873054,313450190,2684,81,64,53,2017-05-16
1838426739,1316102244,647,1,1,1,2017-05-16
2036048124,1498399530,38,2,1,1,2017-05-16
1889314729,828589940,41964,3,3,3,2017-05-16
828589940,1270289144,69428,3,3,3,2017-05-16
2104873054,1961345627,1613,25,23,20,2017-05-16
2104873054,1725635615,1,0,0,0,2017-05-16
342847286,1498399530,61,2,2,2,2017-05-16
2104873054,2036048124,60779,6,6,6,2017-05-16
1730609357,1498399530,288,4,3,3,2017-05-16
7957504,1270289144,33944,1,1,1,2017-05-16
7957504,463397903,47927,3,3,3,2017-05-16
1961345627,1506301109,817,4,4,4,2017-05-16
615535993,1506301109,1,0,0,0,2017-05-16
1316102244,1730609357,1,0,0,0,2017-05-16
1091682207,1498399530,73,1,1,1,2017-05-16
1725635615,1961345627,442,4,4,4,2017-05-16
1506301109,1873234880,1622,5,5,5,2017-05-16
1343237680,333175041,58836,4,4,4,2017-05-16
508414954,1270289144,42638,11,10,10,2017-05-16
1243785496,1506301109,6,0,0,0,2017-05-16
1316102244,7957504,2,0,0,0,2017-05-16
1873234880,1498399530,86,4,3,3,2017-05-16
1239571429,1534063990,1179,35,29,24,2017-05-16
615535993,1725635615,20,2,1,0,2017-05-16
1316102244,1506301109,8,1,0,0,2017-05-16
508414954,1498399530,34,2,2,1,2017-05-16
1665081654,1081825188,11,1,1,0,2017-05-16
1838426739,1465819709,11051,124,114,103,2017-05-16
1558837466,1932226176,7109,107,92,79,2017-05-16
1851286936,1498399530,304,14,9,9,2017-05-16
1898642600,1620846910,17213,3,3,3,2017-05-16
1972115615,1498399530,83,5,3,2,2017-05-16
1494434346,2036048124,59189,9,8,5,2017-05-16
1838426739,615535993,26,1,1,1,2017-05-16
1665081654,313450190,16,1,1,1,2017-05-16
2036048124,1081825188,142,1,1,1,2017-05-16
1961345627,1081825188,21,2,1,0,2017-05-16
1764017416,805113191,43428,46,40,40,2017-05-16
1494434346,1081825188,587,11,11,10,2017-05-16
1744054166,1506301109,45948,7,7,7,2017-05-16
2044461369,1498399530,770,13,12,10,2017-05-16
1961345627,1239571429,112,5,3,3,2017-05-16
1558837466,1343237680,38160,95,85,79,2017-05-16
1270289144,1498399530,6,1,0,0,2017-05-16
1764017416,1498399530,87,6,3,2,2017-05-16
615535993,1620846910,1,0,0,0,2017-05-16
1898642600,1498399530,87,4,2,2,2017-05-16
342847286,1764017416,6,1,0,0,2017-05-16
490315436,649072229,45953,747,666,578,2017-05-16
1239571429,1316102244,25004,15,15,15,2017-05-16
313450190,1498399530,77,4,4,1,2017-05-16
1838426739,1620846910,16204,12,12,12,2017-05-16
828589940,463397903,54814,3,3,3,2017-05-16
1519644322,828589940,6119,1,1,1,2017-05-16
1725635615,1091682207,59241,20,19,19,2017-05-16
778544259,1494434346,867,19,18,16,2017-05-16
1494434346,1498399530,722,12,10,8,2017-05-16
333175041,1932226176,15403,531,440,365,2017-05-16
463397903,1498399530,3,0,0,0,2017-05-16
1343237680,1932226176,5090,88,75,64,2017-05-16
342847286,1081825188,7,1,0,0,2017-05-16
1764017416,1961345627,705,27,23,19,2017-05-16
1838426739,1898642600,31780,72,66,62,2017-05-16
342847286,2104873054,3,0,0,0,2017-05-16
1494434346,1665081654,345,7,5,5,2017-05-16
1494434346,1873234880,8500,3,3,3,2017-05-16
508414954,828589940,78356,1,1,1,2017-05-16
2104873054,1498399530,1959,3,2,2,2017-05-16
508414954,1889314729,41606,2,2,2,2017-05-16
1316102244,2036048124,1,0,0,0,2017-05-16
508414954,463397903,41579,2,2,2,2017-05-16
1494434346,2104873054,67548,20,20,17,2017-05-16
2104873054,2044461369,1883,24,23,22,2017-05-16
1239571429,1725635615,3,0,0,0,2017-05-16
1081825188,1498399530,64,4,3,2,2017-05-16
1239571429,615535993,2,0,0,0,2017-05-16
1725635615,1316102244,4,0,0,0,2017-05-16
1091682207,1620846910,16581,9,8,8,2017-05-16
1239571429,2044461369,32,2,2,1,2017-05-16
342847286,1898642600,19568,7,7,6,2017-05-16
1665081654,2104873054,28,2,0,0,2017-05-16
1519644322,7957504,55603,3,3,3,2017-05-16
805113191,1498399530,21,2,1,0,2017-05-16
1316102244,1498399530,155,4,4,4,2017-05-16
2104873054,1438398871,438,25,17,13,2017-05-16
1534063990,1665081654,185,4,4,4,2017-05-16
1838426739,1494434346,4710,3,3,3,2017-05-16
2036048124,805113191,23315,275,237,208,2017-05-16
2104873054,1764017416,64823,9,9,9,2017-05-16
1239571429,1494434346,970,11,11,11,2017-05-16
615535993,342847286,1,0,0,0,2017-05-16
1239571429,1620846910,10,1,0,0,2017-05-16
1932226176,1498399530,3,0,0,0,2017-05-16
342847286,1534063990,59,3,2,2,2017-05-16
1665081654,1961345627,185,3,3,3,2017-05-16
1764017416,1838426739,5967,17,15,11,2017-05-16
1972115615,1730609357,71631,14,12,12,2017-05-16
1730609357,1534063990,13,1,1,0,2017-05-16
1725635615,1620846910,16557,1,1,1,2017-05-16
2044461369,1764017416,364,4,4,4,2017-05-16
1838426739,1873234880,8725,3,3,3,2017-05-16
1316102244,805113191,3886,7,6,5,2017-05-16
342847286,1494434346,4,0,0,0,2017-05-16
333175041,2036048124,18167,36,36,32,2017-05-16
1534063990,1212892288,3849,66,52,38,2017-05-16
1465819709,1091682207,9886,51,48,42,2017-05-16
1764017416,615535993,1,0,0,0,2017-05-16
1838426739,1498399530,93,3,3,1,2017-05-16
1838426739,1665081654,527,13,11,11,2017-05-16
2104873054,1838426739,6478,3,3,3,2017-05-16
1465819709,1725635615,3188,19,16,16,2017-05-16
1506301109,1081825188,15,1,1,0,2017-05-16
1239571429,1091682207,26,2,2,0,2017-05-16
1081825188,1764017416,1148,27,22,20,2017-05-16
1239571429,1898642600,19914,3,3,3,2017-05-16
1316102244,1873234880,981,24,21,20,2017-05-16
1665081654,615535993,6,1,0,0,2017-05-16
1764017416,1620846910,3,0,0,0,2017-05-16
1665081654,1873234880,47,2,2,2,2017-05-16
1725635615,1081825188,617,2,2,2,2017-05-16
342847286,1506301109,42,2,2,1,2017-05-16
1665081654,1744054166,45870,5,5,5,2017-05-16
1081825188,1316102244,3647,15,13,13,2017-05-16
508414954,1519644322,60338,2,2,2,2017-05-16
1665081654,2044461369,1334,24,21,20,2017-05-16
