A,B,Weight,5,10,15,Date
1316102244,1665081654,333,9,7,7,2017-05-17
2104873054,1316102244,112,4,4,4,2017-05-17
1534063990,1744054166,14724,24,23,20,2017-05-17
2036048124,1494434346,58337,9,9,9,2017-05-17
1343237680,1270878398,2,0,0,0,2017-05-17
342847286,2044461369,2,0,0,0,2017-05-17
2036048124,1961345627,73,2,2,2,2017-05-17
1239571429,1506301109,8723,19,19,17,2017-05-17
1519644322,1270289144,55310,17,17,16,2017-05-17
1764017416,2044461369,223,8,7,7,2017-05-17
1665081654,1438398871,4626,26,23,19,2017-05-17
1081825188,1506301109,860,8,6,5,2017-05-17
1889314729,1270289144,73840,4,4,4,2017-05-17
1889314729,463397903,73825,4,4,4,2017-05-17
342847286,1534063990,4,0,0,0,2017-05-17
1343237680,1730609357,1,0,0,0,2017-05-17
805113191,1316102244,3957,70,54,47,2017-05-17
1270289144,463397903,59791,4,4,4,2017-05-17
1889314729,828589940,73728,4,4,4,2017-05-17
1081825188,1316102244,14,1,1,0,2017-05-17
1239571429,1519644322,61,4,3,3,2017-05-17
2104873054,2036048124,56408,9,7,7,2017-05-17
1270289144,7957504,52376,4,4,4,2017-05-17
342847286,1091682207,1,0,0,0,2017-05-17
1239571429,805113191,7698,95,87,77,2017-05-17
1519644322,1243785496,739,16,14,13,2017-05-17
1343237680,1665081654,2,0,0,0,2017-05-17
1519644322,1506301109,946,19,16,12,2017-05-17
1506301109,1898642600,1,0,0,0,2017-05-17
1506301109,1873234880,5323,22,18,17,2017-05-17
1343237680,333175041,60301,3,3,3,2017-05-17
508414954,1270289144,48071,4,4,4,2017-05-17
1316102244,1506301109,5619,6,5,4,2017-05-17
2036048124,1316102244,444,2,2,2,2017-05-17
1764017416,1838426739,31,1,1,1,2017-05-17
1838426739,1465819709,6623,124,104,92,2017-05-17
333175041,1932226176,12023,438,371,303,2017-05-17
1838426739,1898642600,15633,143,129,117,2017-05-17
1665081654,313450190,28,1,1,1,2017-05-17
2036048124,1081825188,184,3,3,2,2017-05-17
1091682207,1665081654,137,2,2,2,2017-05-17
1961345627,1081825188,5,0,0,0,2017-05-17
1764017416,805113191,46185,13,12,12,2017-05-17
1725635615,1838426739,59296,5,5,5,2017-05-17
1270289144,1665081654,12,1,1,0,2017-05-17
1665081654,1873234880,4401,20,20,18,2017-05-17
1730609357,313450190,737,26,23,19,2017-05-17
1316102244,1972115615,599,5,5,5,2017-05-17
615535993,1316102244,6,0,0,0,2017-05-17
1343237680,1961345627,1,0,0,0,2017-05-17
1091682207,1465819709,7512,68,62,55,2017-05-17
2036048124,1873234880,519,20,17,14,2017-05-17
1506301109,1243785496,2,0,0,0,2017-05-17
1519644322,717844050,888,25,20,18,2017-05-17
342847286,1081825188,1,0,0,0,2017-05-17
463397903,1665081654,131,2,2,2,2017-05-17
