A,B,Weight,5,10,15,Date
1519644322,1558837466,1635,32,26,23,2017-05-12
463397903,1558837466,599,10,10,9,2017-05-12
463397903,1889314729,40970,11,9,9,2017-05-12
1534063990,313450190,3,0,0,0,2017-05-12
1239571429,1961345627,636,16,15,13,2017-05-12
333175041,1506301109,4508,5,5,5,2017-05-12
1558837466,1081825188,1833,4,4,4,2017-05-12
1889314729,828589940,59640,6,6,6,2017-05-12
1744054166,1498399530,160,5,5,5,2017-05-12
342847286,1498399530,21592,147,138,128,2017-05-12
7957504,1270289144,61619,4,4,4,2017-05-12
333175041,1212892288,70,3,2,2,2017-05-12
1519644322,1764017416,748,15,13,13,2017-05-12
1519644322,1243785496,404,17,13,7,2017-05-12
1091682207,1498399530,399,15,13,9,2017-05-12
1506301109,1873234880,4468,3,3,3,2017-05-12
508414954,1270289144,57678,25,21,19,2017-05-12
1316102244,1506301109,798,2,2,2,2017-05-12
1851286936,1498399530,938,38,29,24,2017-05-12
1270289144,1889314729,77879,5,5,5,2017-05-12
1838426739,615535993,14,1,1,0,2017-05-12
1932226176,1343237680,22508,51,40,29,2017-05-12
1519644322,1534063990,726,9,8,8,2017-05-12
1494434346,1081825188,3457,20,16,14,2017-05-12
333175041,1343237680,2496,13,11,8,2017-05-12
1585850597,717844050,9783,356,284,220,2017-05-12
2044461369,1498399530,3250,54,47,43,2017-05-12
1270289144,1498399530,7616,83,75,71,2017-05-12
1316102244,1972115615,1,0,0,0,2017-05-12
1972115615,1558837466,3,0,0,0,2017-05-12
2036048124,1961345627,19,1,1,1,2017-05-12
1343237680,1534063990,38,1,1,1,2017-05-12
1270289144,828589940,59661,5,5,5,2017-05-12
1519644322,828589940,47315,20,17,15,2017-05-12
1725635615,1091682207,23851,128,117,101,2017-05-12
1585850597,1961345627,3,0,0,0,2017-05-12
1494434346,1498399530,1185,29,25,20,2017-05-12
463397903,1498399530,24280,50,45,40,2017-05-12
1585850597,1316102244,27,1,1,1,2017-05-12
2104873054,1498399530,594,18,15,14,2017-05-12
463397903,1838426739,347,16,14,10,2017-05-12
1465819709,1838426739,14664,18,17,17,2017-05-12
1438398871,1506301109,18016,4,4,3,2017-05-12
1665081654,2104873054,7,0,0,0,2017-05-12
345466931,828589940,41990,409,367,338,2017-05-12
463397903,717844050,1112,27,25,23,2017-05-12
1558837466,615535993,30,1,1,1,2017-05-12
508414954,1498399530,11375,42,36,33,2017-05-12
7957504,1519644322,40992,15,12,12,2017-05-12
2044461369,1506301109,154,3,3,3,2017-05-12
345466931,1519644322,5410,61,56,53,2017-05-12
1316102244,1498399530,571,19,16,12,2017-05-12
1764017416,1558837466,40621,5,5,5,2017-05-12
1343237680,717844050,2834,71,64,57,2017-05-12
490315436,1239571429,1,0,0,0,2017-05-12
1665081654,1764017416,5,0,0,0,2017-05-12
1081825188,1620846910,674,19,14,13,2017-05-12
1534063990,1730609357,1,0,0,0,2017-05-12
554892047,463397903,39960,17,16,15,2017-05-12
1239571429,805113191,53266,3,3,3,2017-05-12
1343237680,1243785496,163,8,8,4,2017-05-12
1534063990,1498399530,470,10,9,8,2017-05-12
463397903,1898642600,254,10,5,4,2017-05-12
615535993,1498399530,366,17,10,8,2017-05-12
1838426739,1506301109,12,1,0,0,2017-05-12
1534063990,1494434346,2821,114,92,76,2017-05-12
1519644322,1585850597,153,5,5,5,2017-05-12
7957504,342847286,58638,24,22,20,2017-05-12
1932226176,1558837466,8913,123,107,95,2017-05-12
1465819709,1498399530,158,7,6,3,2017-05-12
463397903,1519644322,43392,49,41,38,2017-05-12
1744054166,1212892288,159,4,4,1,2017-05-12
1494434346,1506301109,157,7,5,5,2017-05-12
1239571429,1270878398,5,0,0,0,2017-05-12
649072229,490315436,37694,1058,892,743,2017-05-12
1519644322,508414954,45913,16,15,15,2017-05-12
463397903,333175041,423,5,5,5,2017-05-12
1494434346,2044461369,6077,18,16,15,2017-05-12
717844050,1498399530,761,32,27,20,2017-05-12
1438398871,1498399530,144,4,4,4,2017-05-12
463397903,1744054166,144,2,2,2,2017-05-12
1838426739,1091682207,14928,6,6,6,2017-05-12
1725635615,2104873054,1,0,0,0,2017-05-12
1239571429,333175041,1,0,0,0,2017-05-12
1764017416,1091682207,6,1,0,0,2017-05-12
1316102244,1081825188,968,12,11,11,2017-05-12
1494434346,1620846910,127,4,3,2,2017-05-12
1730609357,2104873054,15,1,1,0,2017-05-12
1243785496,1558837466,14,1,1,0,2017-05-12
1316102244,2104873054,248,9,7,5,2017-05-12
1585850597,1212892288,18,1,1,1,2017-05-12
1961345627,1498399530,5036,88,75,68,2017-05-12
1932226176,333175041,2003,3,3,2,2017-05-12
1465819709,1620846910,12623,12,11,11,2017-05-12
463397903,1961345627,217,9,7,4,2017-05-12
1519644322,1725635615,163,2,2,2,2017-05-12
1730609357,313450190,20745,616,521,445,2017-05-12
554892047,1889314729,73363,5,5,5,2017-05-12
1343237680,1730609357,2,0,0,0,2017-05-12
1558837466,1620846910,13,1,0,0,2017-05-12
1212892288,2044461369,46,1,1,1,2017-05-12
1270289144,463397903,61940,64,57,50,2017-05-12
463397903,1438398871,186,6,6,4,2017-05-12
1239571429,1519644322,2546,51,43,39,2017-05-12
615535993,1506301109,7,1,0,0,2017-05-12
1873234880,1498399530,404,12,11,9,2017-05-12
1764017416,1498399530,787,26,19,15,2017-05-12
1889314729,508414954,83628,31,30,30,2017-05-12
1534063990,1558837466,4,0,0,0,2017-05-12
615535993,1620846910,50635,51,49,47,2017-05-12
1519644322,717844050,2914,61,54,49,2017-05-12
1239571429,1081825188,358,15,12,9,2017-05-12
463397903,1212892288,210,4,4,4,2017-05-12
554892047,828589940,76404,6,6,6,2017-05-12
1585850597,1081825188,1,0,0,0,2017-05-12
1665081654,1585850597,2257,5,5,5,2017-05-12
1494434346,1873234880,7759,5,5,5,2017-05-12
1519644322,1091682207,175,3,3,3,2017-05-12
1270289144,1519644322,42751,16,16,16,2017-05-12
2036048124,1764017416,29191,24,20,20,2017-05-12
1519644322,2036048124,92,2,2,2,2017-05-12
615535993,1091682207,28025,230,201,180,2017-05-12
1558837466,717844050,44711,144,138,131,2017-05-12
1665081654,2036048124,37772,3,3,3,2017-05-12
1494434346,778544259,34,1,1,1,2017-05-12
463397903,1243785496,218,9,6,5,2017-05-12
1519644322,1316102244,1435,33,28,22,2017-05-12
1519644322,1730609357,2092,54,41,36,2017-05-12
463397903,2044461369,214,2,2,2,2017-05-12
1972115615,1730609357,83631,39,38,38,2017-05-12
1898642600,1498399530,542,16,15,13,2017-05-12
1764017416,1506301109,2,0,0,0,2017-05-12
463397903,1494434346,208,7,6,3,2017-05-12
1838426739,1498399530,25975,9,7,6,2017-05-12
1519644322,1665081654,1745,52,40,34,2017-05-12
508414954,554892047,62616,5,5,5,2017-05-12
1665081654,1343237680,1,0,0,0,2017-05-12
463397903,1270878398,39,3,2,0,2017-05-12
1665081654,1873234880,54,3,2,2,2017-05-12
2044461369,1620846910,208,5,5,4,2017-05-12
1585850597,1498399530,562,13,13,11,2017-05-12
1665081654,2044461369,1305,17,15,14,2017-05-12
7957504,463397903,43819,15,15,14,2017-05-12
1519644322,1972115615,2506,62,48,38,2017-05-12
1506301109,1972115615,8,1,0,0,2017-05-12
1519644322,1081825188,1739,39,31,27,2017-05-12
1519644322,554892047,40638,14,13,13,2017-05-12
1519644322,1343237680,159,5,5,4,2017-05-12
1506301109,717844050,20,2,1,0,2017-05-12
1239571429,2104873054,16,2,0,0,2017-05-12
1316102244,1961345627,2280,13,13,12,2017-05-12
1494434346,1764017416,16449,10,8,7,2017-05-12
333175041,2044461369,5089,12,12,12,2017-05-12
1764017416,1316102244,5,0,0,0,2017-05-12
1730609357,1212892288,2,0,0,0,2017-05-12
828589940,1498399530,22013,50,49,44,2017-05-12
1725635615,1620846910,15531,43,38,32,2017-05-12
1889314729,1519644322,44539,12,12,12,2017-05-12
7957504,1889314729,75991,5,5,5,2017-05-12
554892047,342847286,73258,7,7,7,2017-05-12
2044461369,2104873054,38,1,1,1,2017-05-12
1519644322,615535993,2011,45,37,32,2017-05-12
1889314729,1498399530,14832,44,35,31,2017-05-12
333175041,1961345627,159,7,6,3,2017-05-12
345466931,508414954,1689,5,5,5,2017-05-12
1494434346,1438398871,2,0,0,0,2017-05-12
2036048124,1620846910,5,0,0,0,2017-05-12
333175041,1498399530,1808,40,39,36,2017-05-12
463397903,1091682207,714,14,12,12,2017-05-12
1343237680,1620846910,15,1,1,0,2017-05-12
1932226176,1585850597,30484,5,5,5,2017-05-12
1438398871,1764017416,4,0,0,0,2017-05-12
345466931,1889314729,59946,38,37,35,2017-05-12
333175041,1764017416,2343,7,7,7,2017-05-12
1212892288,1270878398,6,0,0,0,2017-05-12
1585850597,1270878398,2,0,0,0,2017-05-12
1081825188,2104873054,489,2,2,2,2017-05-12
463397903,1851286936,569,9,9,8,2017-05-12
1212892288,1961345627,1213,3,3,3,2017-05-12
1585850597,1764017416,39150,3,3,3,2017-05-12
1081825188,1506301109,3351,9,9,9,2017-05-12
2036048124,2104873054,22805,10,10,10,2017-05-12
1585850597,1730609357,138,4,4,3,2017-05-12
2036048124,1498399530,797,19,19,15,2017-05-12
333175041,1316102244,294,2,2,2,2017-05-12
1519644322,2104873054,808,21,15,13,2017-05-12
828589940,508414954,84054,5,5,5,2017-05-12
1498399530,1620846910,349,8,8,8,2017-05-12
1665081654,1498399530,3677,35,32,30,2017-05-12
1585850597,1558837466,55465,151,137,113,2017-05-12
1239571429,649072229,1,0,0,0,2017-05-12
1972115615,1498399530,585,16,14,11,2017-05-12
463397903,1343237680,388,8,8,7,2017-05-12
1932226176,1498399530,257,5,4,4,2017-05-12
615535993,1316102244,25,1,1,1,2017-05-12
1558837466,1494434346,108,2,2,2,2017-05-12
463397903,313450190,49,1,1,1,2017-05-12
1239571429,1316102244,53133,15,14,13,2017-05-12
313450190,1498399530,270,8,7,7,2017-05-12
1270289144,342847286,31245,537,486,441,2017-05-12
1898642600,1764017416,22959,26,26,25,2017-05-12
1239571429,1873234880,15,1,1,0,2017-05-12
1665081654,1494434346,173,4,4,4,2017-05-12
463397903,1465819709,80,5,1,1,2017-05-12
1665081654,1898642600,38893,5,5,4,2017-05-12
463397903,1534063990,319,7,6,6,2017-05-12
1725635615,805113191,18218,193,177,158,2017-05-12
342847286,508414954,73819,7,7,7,2017-05-12
345466931,1498399530,18,1,0,0,2017-05-12
1961345627,2104873054,505,3,3,3,2017-05-12
463397903,508414954,65286,62,54,45,2017-05-12
1519644322,2044461369,1134,27,25,22,2017-05-12
1081825188,1498399530,2842,42,31,26,2017-05-12
805113191,1498399530,115,8,6,4,2017-05-12
1519644322,1212892288,1567,34,29,24,2017-05-12
1239571429,1620846910,665,17,15,13,2017-05-12
1898642600,2036048124,40362,267,243,227,2017-05-12
2036048124,1506301109,40543,9,9,9,2017-05-12
463397903,805113191,48,2,1,1,2017-05-12
1764017416,717844050,41395,8,8,8,2017-05-12
