A,B,Weight,5,10,15,Date
119102825,1523011077,433,8,8,8,2017-07-16
199010025,367665957,61984,35,35,33,2017-07-16
292017195,861880236,514,19,18,17,2017-07-16
1267917984,1523011077,104,7,5,3,2017-07-16
418016778,882568174,5197,4,4,4,2017-07-16
123367778,1981869729,10630,63,58,55,2017-07-16
2083901299,1441110689,4234,93,77,69,2017-07-16
2108187232,1562319742,19994,227,198,170,2017-07-16
645787100,882568174,50404,22,21,20,2017-07-16
292017195,1058275714,8,1,0,0,2017-07-16
401107636,2083901299,42,3,1,1,2017-07-16
401107636,1523011077,19,2,0,0,2017-07-16
516319932,418016778,16144,14,13,13,2017-07-16
1074509745,2083901299,68,3,3,3,2017-07-16
2107264161,868028374,69,2,2,2,2017-07-16
516319932,292017195,6770,69,62,55,2017-07-16
2072496780,1243556596,217,11,10,7,2017-07-16
1523011077,265442043,27,1,1,1,2017-07-16
199010025,1260588087,103,6,4,2,2017-07-16
1155769568,1118341011,17,1,1,1,2017-07-16
1118341011,119102825,4,0,0,0,2017-07-16
367665957,1243556596,41828,3,2,2,2017-07-16
516319932,837070604,3063,1,1,1,2017-07-16
199010025,1328525114,4,0,0,0,2017-07-16
1243785496,761777717,3,0,0,0,2017-07-16
199010025,2108187232,14,1,1,0,2017-07-16
1243556596,199010025,57087,13,12,12,2017-07-16
292017195,1328525114,437,14,11,11,2017-07-16
119102825,1562319742,63,2,1,1,2017-07-16
119102825,2107264161,1025,27,25,21,2017-07-16
1268906809,1243556596,40781,5,5,5,2017-07-16
2083901299,681992259,18432,16,16,16,2017-07-16
1562319742,306942058,103,3,2,2,2017-07-16
837070604,861880236,11010,17,15,14,2017-07-16
1243556596,306942058,109,2,2,2,2017-07-16
1267917984,1981869729,12209,2,2,1,2017-07-16
645787100,837070604,32385,385,349,316,2017-07-16
199010025,123367778,5,0,0,0,2017-07-16
1155769568,1267917984,39,2,1,1,2017-07-16
1523011077,2072496780,1022,9,9,8,2017-07-16
1155769568,1243556596,301,8,6,4,2017-07-16
123367778,1118341011,2740,86,78,68,2017-07-16
199010025,1118341011,2,0,0,0,2017-07-16
123367778,1523011077,35089,518,455,398,2017-07-16
837070604,1058275714,146,3,2,2,2017-07-16
123367778,195941619,1,0,0,0,2017-07-16
199010025,306942058,38,2,2,1,2017-07-16
868028374,1441110689,48,1,1,1,2017-07-16
1268906809,1886735120,17504,49,48,47,2017-07-16
1155769568,2107264161,130,5,3,2,2017-07-16
123367778,2072496780,7504,15,15,11,2017-07-16
1155769568,199010025,2704,8,5,3,2017-07-16
119102825,2108187232,57,2,1,1,2017-07-16
861880236,418016778,16307,71,66,57,2017-07-16
1243556596,1118341011,42,3,2,1,2017-07-16
1523011077,2107264161,2519,79,67,52,2017-07-16
861880236,1328525114,65351,90,84,80,2017-07-16
367665957,1886735120,17558,48,48,45,2017-07-16
1155769568,2072496780,94,5,5,2,2017-07-16
882568174,1058275714,9,1,0,0,2017-07-16
1523011077,1981869729,16791,109,101,92,2017-07-16
1886735120,1243785496,19493,93,93,92,2017-07-16
868028374,1074509745,56196,108,101,94,2017-07-16
1243556596,195941619,12,1,0,0,2017-07-16
2107264161,2083901299,5591,192,164,138,2017-07-16
868028374,2083901299,65920,3,3,3,2017-07-16
2107264161,195941619,40644,491,464,420,2017-07-16
