A,B,Weight,5,10,15,Date
1328525114,1243556596,1,0,0,0,2017-07-10
1243785496,1768805330,35,2,1,1,2017-07-10
123367778,1074509745,1,0,0,0,2017-07-10
761777717,1268906809,22,1,1,1,2017-07-10
292017195,882568174,58446,10,10,10,2017-07-10
2107264161,1243785496,1506,51,39,27,2017-07-10
1403322128,119102825,1049,3,2,2,2017-07-10
1243556596,837070604,15,1,1,0,2017-07-10
861880236,837070604,73246,9,9,9,2017-07-10
292017195,861880236,33310,149,127,110,2017-07-10
2107264161,1705068304,1413,52,45,36,2017-07-10
861880236,2072496780,55,2,2,2,2017-07-10
1243785496,1260588087,35,2,1,1,2017-07-10
292017195,750536806,54724,216,203,180,2017-07-10
1243556596,2107264161,32,2,2,1,2017-07-10
123367778,1981869729,58895,15,15,14,2017-07-10
408433646,372913480,33,3,2,0,2017-07-10
1243556596,1058275714,201,6,6,3,2017-07-10
1155769568,837070604,3,0,0,0,2017-07-10
882568174,645787100,55239,4,4,4,2017-07-10
2083901299,1441110689,29204,379,326,292,2017-07-10
2108187232,1562319742,50105,8,7,5,2017-07-10
119102825,1705068304,12490,292,267,244,2017-07-10
1243556596,199010025,55457,17,15,11,2017-07-10
2083901299,195941619,39,2,1,1,2017-07-10
1243785496,1118341011,114,6,3,2,2017-07-10
645787100,418016778,74641,12,11,10,2017-07-10
292017195,1058275714,70392,13,10,8,2017-07-10
1243785496,516319932,44,2,2,1,2017-07-10
1523011077,401107636,11,1,0,0,2017-07-10
516319932,292017195,11552,205,184,164,2017-07-10
1243556596,1705068304,61,1,1,1,2017-07-10
1441110689,119102825,324,14,11,10,2017-07-10
123367778,1243785496,436,7,7,6,2017-07-10
882568174,1243785496,43,2,1,1,2017-07-10
1441110689,1155769568,201,10,6,4,2017-07-10
2108187232,1118341011,4,0,0,0,2017-07-10
1403322128,306942058,338,9,8,8,2017-07-10
1243556596,119102825,3,0,0,0,2017-07-10
2108187232,1267917984,47285,3,3,3,2017-07-10
1697801431,1243785496,143,6,5,4,2017-07-10
882568174,837070604,73408,9,9,9,2017-07-10
1403322128,1267917984,114,1,1,1,2017-07-10
367665957,1243556596,55602,19,17,12,2017-07-10
516319932,882568174,57056,5,5,5,2017-07-10
1267917984,1243785496,152,4,2,2,2017-07-10
1243785496,761777717,1648,47,37,32,2017-07-10
1243556596,861880236,18,1,1,0,2017-07-10
1562319742,195941619,8,1,0,0,2017-07-10
119102825,2107264161,236,12,9,6,2017-07-10
1523011077,119102825,4826,15,11,11,2017-07-10
1155769568,418016778,80,2,2,2,2017-07-10
292017195,1328525114,63264,8,8,8,2017-07-10
2108187232,2072496780,536,11,10,9,2017-07-10
1523011077,1260588087,298,17,11,6,2017-07-10
750536806,1058275714,73835,7,7,6,2017-07-10
1155769568,2108187232,118,2,2,2,2017-07-10
1445225314,123367778,75,1,1,1,2017-07-10
1243556596,1441110689,9,0,0,0,2017-07-10
1336220045,306942058,2063,16,16,15,2017-07-10
1243785496,1981869729,797,30,21,13,2017-07-10
1268906809,1155769568,55440,14,13,8,2017-07-10
1697801431,1243556596,23,3,0,0,2017-07-10
516319932,645787100,57619,6,6,6,2017-07-10
1562319742,1768805330,3,0,0,0,2017-07-10
645787100,837070604,73218,9,9,9,2017-07-10
2072496780,1074509745,36,2,2,2,2017-07-10
750536806,861880236,68373,6,6,6,2017-07-10
1260588087,1155769568,133,8,4,4,2017-07-10
1155769568,1267917984,51,3,1,1,2017-07-10
1981869729,1705068304,4,0,0,0,2017-07-10
1268906809,367665957,57489,20,20,17,2017-07-10
1523011077,2072496780,1263,14,12,12,2017-07-10
367665957,199010025,47989,5,5,5,2017-07-10
1243785496,1562319742,67248,7,7,7,2017-07-10
861880236,1441110689,104,4,4,4,2017-07-10
1328525114,2108187232,5,0,0,0,2017-07-10
1981869729,1243556596,194,11,8,5,2017-07-10
2108187232,1336220045,55332,5,5,5,2017-07-10
123367778,868028374,26,1,1,1,2017-07-10
2108187232,119102825,2284,59,46,38,2017-07-10
1058275714,1243785496,687,14,14,11,2017-07-10
1403322128,1336220045,1022,1,1,1,2017-07-10
1981869729,1523011077,21677,505,420,339,2017-07-10
418016778,837070604,76760,8,8,8,2017-07-10
1118341011,837070604,24,2,2,0,2017-07-10
1268906809,1886735120,41296,3,3,3,2017-07-10
1523011077,123367778,42081,269,229,203,2017-07-10
1886735120,367665957,41651,3,3,3,2017-07-10
1155769568,199010025,55103,13,12,12,2017-07-10
761777717,1074509745,27,1,1,1,2017-07-10
1328525114,1981869729,311,3,2,2,2017-07-10
1441110689,1074509745,274,13,8,8,2017-07-10
2083901299,401107636,9,0,0,0,2017-07-10
1441110689,1243785496,2251,57,44,40,2017-07-10
1243556596,1118341011,42,2,2,2,2017-07-10
1523011077,2107264161,84,2,2,2,2017-07-10
1523011077,868028374,2819,125,95,80,2017-07-10
1155769568,1886735120,53770,19,15,14,2017-07-10
