A,B,Weight,5,10,15,Date
119102825,1523011077,6,0,0,0,2017-07-13
1243785496,1768805330,80,3,2,2,2017-07-13
761777717,1268906809,74,5,2,2,2017-07-13
2107264161,1243785496,2722,71,60,52,2017-07-13
1403322128,119102825,9336,42,41,39,2017-07-13
199010025,367665957,76970,61,56,54,2017-07-13
195941619,1243556596,42,3,1,1,2017-07-13
861880236,837070604,4457,2,2,2,2017-07-13
1267917984,1523011077,4,0,0,0,2017-07-13
199010025,882568174,299,6,5,5,2017-07-13
1562319742,119102825,6611,13,13,10,2017-07-13
1523011077,1243785496,438,8,6,6,2017-07-13
123367778,1981869729,41409,406,367,340,2017-07-13
1981869729,119102825,30994,644,559,481,2017-07-13
1267917984,265442043,70,3,3,1,2017-07-13
2083901299,1441110689,1820,21,20,17,2017-07-13
2108187232,1562319742,20208,352,319,283,2017-07-13
750536806,882568174,1879,19,17,16,2017-07-13
199010025,401107636,6,0,0,0,2017-07-13
1441110689,1243785496,2172,56,44,40,2017-07-13
1243785496,367665957,64712,32,28,25,2017-07-13
1523011077,401107636,10,1,0,0,2017-07-13
1981869729,1243785496,4425,94,77,66,2017-07-13
1523011077,265442043,37,2,2,2,2017-07-13
1403322128,306942058,12092,23,21,18,2017-07-13
199010025,1260588087,10,1,0,0,2017-07-13
2108187232,1267917984,32494,118,99,82,2017-07-13
1697801431,1243785496,209,3,3,3,2017-07-13
1243556596,882568174,65,1,1,1,2017-07-13
367665957,1886735120,41059,2,2,2,2017-07-13
1243785496,761777717,25054,616,510,433,2017-07-13
1328525114,1058275714,7057,1,1,1,2017-07-13
868028374,681992259,5723,24,23,22,2017-07-13
1243556596,199010025,76985,16,16,16,2017-07-13
1243785496,553349318,28,1,1,1,2017-07-13
868028374,1852043824,1388,1,1,1,2017-07-13
1058275714,645787100,1308,44,37,30,2017-07-13
1267917984,1852043824,2652,7,7,7,2017-07-13
265442043,1243785496,99,3,3,3,2017-07-13
516319932,645787100,101,4,3,3,2017-07-13
1267917984,199010025,7,1,0,0,2017-07-13
1155769568,195941619,116,6,6,5,2017-07-13
1267917984,1981869729,41,1,1,1,2017-07-13
2107264161,1523011077,16,2,0,0,2017-07-13
868028374,2107264161,3598,16,15,15,2017-07-13
2083901299,1852043824,49,1,1,1,2017-07-13
882568174,516319932,3,0,0,0,2017-07-13
2107264161,401107636,15,1,1,0,2017-07-13
123367778,1445225314,10263,1,1,1,2017-07-13
1118341011,1243785496,255,6,6,5,2017-07-13
265442043,1243556596,77,4,3,2,2017-07-13
882568174,1981869729,27,1,1,1,2017-07-13
1328525114,882568174,5634,140,114,103,2017-07-13
199010025,123367778,57,2,2,2,2017-07-13
123367778,1523011077,7523,6,5,4,2017-07-13
1155769568,882568174,130,3,3,3,2017-07-13
2108187232,1336220045,678,2,2,2,2017-07-13
