A,B,Weight,5,10,15,Date
119102825,1523011077,5357,11,11,10,2017-07-14
1243785496,2107264161,4542,100,80,68,2017-07-14
1243785496,1441110689,4357,93,77,65,2017-07-14
199010025,367665957,24330,2,2,2,2017-07-14
516319932,1155769568,1508,16,15,9,2017-07-14
861880236,1058275714,66197,8,8,8,2017-07-14
1155769568,401107636,20,1,1,1,2017-07-14
1058275714,516319932,60647,38,36,34,2017-07-14
1981869729,1562319742,37,2,2,1,2017-07-14
861880236,2072496780,44,2,2,2,2017-07-14
292017195,750536806,50762,448,410,372,2017-07-14
1562319742,1155769568,54,3,2,2,2017-07-14
123367778,1981869729,34603,731,639,548,2017-07-14
1155769568,837070604,1,0,0,0,2017-07-14
882568174,645787100,13303,55,48,40,2017-07-14
2108187232,195941619,944,11,11,10,2017-07-14
645787100,516319932,2227,45,43,37,2017-07-14
1155769568,418016778,61847,36,36,36,2017-07-14
401107636,1523011077,128,4,2,2,2017-07-14
1260588087,1243785496,307,7,6,5,2017-07-14
306942058,1243785496,463,5,5,5,2017-07-14
1981869729,1243785496,4869,115,89,77,2017-07-14
2107264161,516319932,4,0,0,0,2017-07-14
123367778,1243785496,968,19,16,15,2017-07-14
1523011077,2107264161,630,11,8,6,2017-07-14
1328525114,1981869729,5,0,0,0,2017-07-14
2107264161,1981869729,272,9,9,9,2017-07-14
1403322128,306942058,22263,42,40,39,2017-07-14
1243556596,119102825,10846,334,276,232,2017-07-14
2108187232,1267917984,65477,36,34,27,2017-07-14
418016778,1981869729,2,0,0,0,2017-07-14
119102825,418016778,400,8,8,6,2017-07-14
516319932,837070604,62559,8,8,8,2017-07-14
837070604,1441110689,2,0,0,0,2017-07-14
868028374,1243785496,632,10,9,6,2017-07-14
1155769568,681992259,74,2,2,2,2017-07-14
516319932,1328525114,15797,24,21,18,2017-07-14
861880236,837070604,8180,65,58,43,2017-07-14
1243556596,199010025,79300,46,45,41,2017-07-14
292017195,1058275714,65957,15,15,15,2017-07-14
1243785496,553349318,15,1,1,0,2017-07-14
868028374,1852043824,2852,1,1,1,2017-07-14
119102825,1562319742,23781,26,24,21,2017-07-14
1155769568,2108187232,97,6,4,3,2017-07-14
119102825,2107264161,56,2,2,2,2017-07-14
2108187232,2072496780,312,4,4,3,2017-07-14
1243785496,1852043824,40,1,1,1,2017-07-14
1058275714,119102825,2675,3,3,3,2017-07-14
367665957,1697801431,323,15,10,8,2017-07-14
265442043,1243785496,43,3,2,0,2017-07-14
1562319742,306942058,77468,56,52,50,2017-07-14
1155769568,195941619,7,1,0,0,2017-07-14
868028374,1981869729,2,0,0,0,2017-07-14
1267917984,1981869729,108,4,3,2,2017-07-14
882568174,1058275714,78279,20,20,20,2017-07-14
761777717,367665957,49,3,1,1,2017-07-14
868028374,2107264161,1049,5,5,5,2017-07-14
2083901299,1852043824,2830,1,1,1,2017-07-14
1328525114,882568174,31381,571,515,445,2017-07-14
1155769568,1267917984,37,2,2,2,2017-07-14
1118341011,1243785496,621,21,18,16,2017-07-14
