A,B,Weight,5,10,15,Date
199010025,401107636,1,0,0,0,2017-07-12
1243556596,868028374,299,2,2,2,2017-07-12
1155769568,401107636,168,4,4,4,2017-07-12
195941619,1243785496,7732,18,12,9,2017-07-12
1336220045,1981869729,19943,34,29,27,2017-07-12
1328525114,516319932,6349,7,7,7,2017-07-12
750536806,882568174,67899,13,13,12,2017-07-12
1243785496,367665957,53786,15,13,12,2017-07-12
750536806,1981869729,6,1,0,0,2017-07-12
1267917984,837070604,294,13,9,6,2017-07-12
645787100,119102825,1203,38,34,29,2017-07-12
1523011077,401107636,19761,22,21,21,2017-07-12
882568174,1441110689,4448,84,70,67,2017-07-12
199010025,1260588087,64,3,3,3,2017-07-12
1155769568,1118341011,128,5,5,5,2017-07-12
1403322128,265442043,717,15,10,8,2017-07-12
837070604,1441110689,12768,10,10,10,2017-07-12
1403322128,1243785496,424,11,9,7,2017-07-12
292017195,1058275714,10015,8,8,7,2017-07-12
1403322128,1260588087,35,1,1,1,2017-07-12
119102825,1562319742,4040,3,3,3,2017-07-12
2108187232,2072496780,8,1,0,0,2017-07-12
861880236,265442043,81,2,2,2,2017-07-12
1267917984,2107264161,349,11,10,9,2017-07-12
1523011077,1886735120,369,11,11,9,2017-07-12
861880236,2072496780,65,2,2,2,2017-07-12
1155769568,1267917984,1130,41,33,24,2017-07-12
265442043,837070604,5,0,0,0,2017-07-12
1523011077,2072496780,370,6,6,6,2017-07-12
1328525114,882568174,16767,105,92,82,2017-07-12
1058275714,2108187232,81,4,4,2,2017-07-12
367665957,119102825,33,2,2,1,2017-07-12
837070604,1058275714,2903,2,2,2,2017-07-12
1155769568,1336220045,975,31,26,22,2017-07-12
837070604,1403322128,95,4,2,2,2017-07-12
2107264161,1243556596,1639,40,30,27,2017-07-12
1886735120,367665957,33126,10,10,10,2017-07-12
2072496780,837070604,49,3,2,1,2017-07-12
119102825,2108187232,6628,32,29,27,2017-07-12
1243556596,418016778,569,20,16,11,2017-07-12
761777717,1243785496,1031,37,30,24,2017-07-12
837070604,1243556596,211,4,4,3,2017-07-12
1562319742,2108187232,70228,135,125,111,2017-07-12
645787100,1523011077,54,2,2,2,2017-07-12
1243785496,1268906809,49129,12,7,7,2017-07-12
1243556596,1445225314,44,2,2,1,2017-07-12
1336220045,1058275714,513,12,10,8,2017-07-12
1886735120,2072496780,361,12,10,8,2017-07-12
1155769568,861880236,272,2,2,2,2017-07-12
265442043,1336220045,159,4,4,4,2017-07-12
1155769568,1705068304,17,2,0,0,2017-07-12
1336220045,645787100,24,1,1,1,2017-07-12
837070604,1243785496,226,10,7,7,2017-07-12
645787100,1058275714,10319,3,2,2,2017-07-12
1336220045,199010025,47,4,3,0,2017-07-12
1336220045,2108187232,59322,21,16,11,2017-07-12
418016778,861880236,16177,35,33,32,2017-07-12
882568174,861880236,72961,8,8,8,2017-07-12
1074509745,1243785496,1154,14,12,10,2017-07-12
123367778,401107636,964,7,6,5,2017-07-12
265442043,1562319742,491,3,3,3,2017-07-12
1336220045,1886735120,255,8,8,7,2017-07-12
1243785496,861880236,1317,6,4,4,2017-07-12
2108187232,1886735120,1663,24,24,20,2017-07-12
1243556596,1768805330,144,4,4,4,2017-07-12
1328525114,837070604,32050,377,331,291,2017-07-12
837070604,645787100,71860,24,23,22,2017-07-12
1336220045,837070604,1507,9,9,7,2017-07-12
2056522415,750536806,5,0,0,0,2017-07-12
2107264161,119102825,3011,71,65,59,2017-07-12
1336220045,1441110689,921,22,18,18,2017-07-12
837070604,123367778,2046,44,37,33,2017-07-12
1058275714,516319932,4001,70,65,60,2017-07-12
882568174,1243556596,454,2,2,2,2017-07-12
1058275714,123367778,9653,112,100,86,2017-07-12
1268906809,199010025,77291,5,5,5,2017-07-12
837070604,882568174,77082,13,13,13,2017-07-12
868028374,681992259,22742,2,2,2,2017-07-12
1562319742,2072496780,38,1,1,1,2017-07-12
1074509745,1981869729,1,0,0,0,2017-07-12
1243785496,199010025,42287,18,17,15,2017-07-12
837070604,1981869729,138,7,6,4,2017-07-12
1403322128,1981869729,15169,167,151,138,2017-07-12
1886735120,1768805330,183,6,6,4,2017-07-12
882568174,123367778,174,8,5,4,2017-07-12
1074509745,1441110689,405,8,8,5,2017-07-12
1886735120,1155769568,63837,83,77,71,2017-07-12
119102825,2072496780,3476,62,53,40,2017-07-12
1267917984,119102825,2270,26,25,23,2017-07-12
1155769568,2072496780,4794,92,84,76,2017-07-12
2108187232,367665957,27,2,2,0,2017-07-12
868028374,401107636,1,0,0,0,2017-07-12
418016778,2072496780,4941,112,98,83,2017-07-12
1523011077,1328525114,23,1,1,1,2017-07-12
1155769568,1074509745,1,0,0,0,2017-07-12
1403322128,2072496780,15,2,0,0,2017-07-12
119102825,123367778,10,1,0,0,2017-07-12
1155769568,367665957,64044,32,26,20,2017-07-12
1058275714,1981869729,22787,136,124,113,2017-07-12
1267917984,1243785496,2219,23,21,20,2017-07-12
199010025,761777717,78,5,3,2,2017-07-12
292017195,882568174,38,2,2,2,2017-07-12
292017195,861880236,60779,281,264,238,2017-07-12
1267917984,1523011077,1473,22,22,19,2017-07-12
401107636,645787100,1,0,0,0,2017-07-12
1981869729,119102825,57388,174,167,159,2017-07-12
2108187232,645787100,5728,53,50,49,2017-07-12
1243556596,123367778,146,5,4,4,2017-07-12
1523011077,195941619,22,1,1,1,2017-07-12
882568174,119102825,107,3,3,3,2017-07-12
1981869729,1243785496,2916,81,71,56,2017-07-12
123367778,1243785496,353,12,10,8,2017-07-12
1403322128,1118341011,1700,56,45,35,2017-07-12
1886735120,1268906809,26868,5,4,3,2017-07-12
882568174,1155769568,1326,27,23,19,2017-07-12
1886735120,199010025,58266,10,10,10,2017-07-12
868028374,1243785496,32,1,1,1,2017-07-12
1074509745,2072496780,17,1,1,1,2017-07-12
1155769568,418016778,101,6,3,1,2017-07-12
1268906809,1243556596,53320,17,11,11,2017-07-12
750536806,1058275714,2691,3,2,2,2017-07-12
645787100,2072496780,203,5,4,4,2017-07-12
418016778,1981869729,125,7,5,3,2017-07-12
1267917984,199010025,1199,16,15,13,2017-07-12
837070604,861880236,66857,6,6,5,2017-07-12
1336220045,1243785496,1534,24,21,18,2017-07-12
1267917984,1981869729,2694,41,38,34,2017-07-12
645787100,1243785496,1347,32,27,22,2017-07-12
2056522415,645787100,38,1,1,1,2017-07-12
123367778,1523011077,20781,599,489,406,2017-07-12
645787100,1441110689,1186,42,30,27,2017-07-12
119102825,199010025,469,8,7,7,2017-07-12
265442043,2108187232,1,0,0,0,2017-07-12
882568174,1243785496,745,13,10,10,2017-07-12
1155769568,1441110689,4355,102,87,75,2017-07-12
199010025,123367778,19,1,1,1,2017-07-12
1243785496,1243556596,49859,73,63,56,2017-07-12
292017195,1886735120,39,1,1,1,2017-07-12
2107264161,195941619,528,8,7,6,2017-07-12
418016778,1243785496,1367,35,29,27,2017-07-12
2108187232,195941619,5207,64,54,52,2017-07-12
401107636,882568174,7,0,0,0,2017-07-12
1336220045,1267917984,32599,120,102,85,2017-07-12
1267917984,2072496780,1425,39,32,26,2017-07-12
123367778,1441110689,2591,54,47,38,2017-07-12
882568174,1981869729,3,0,0,0,2017-07-12
681992259,2083901299,17540,2,2,2,2017-07-12
882568174,1852043824,1322,1,1,1,2017-07-12
750536806,645787100,41,2,1,1,2017-07-12
1058275714,1243556596,486,17,14,12,2017-07-12
868028374,1155769568,15,1,1,0,2017-07-12
861880236,1981869729,85,2,1,1,2017-07-12
306942058,1267917984,37878,164,145,125,2017-07-12
1267917984,418016778,1265,18,15,15,2017-07-12
1328525114,645787100,2553,97,81,65,2017-07-12
1403322128,123367778,43,3,2,1,2017-07-12
306942058,1336220045,34174,482,430,376,2017-07-12
2107264161,1562319742,401,13,12,10,2017-07-12
199010025,1441110689,189,6,4,4,2017-07-12
418016778,837070604,4904,1,1,1,2017-07-12
1243785496,1441110689,2505,66,57,47,2017-07-12
292017195,418016778,10393,4,4,4,2017-07-12
2107264161,1336220045,534,12,11,10,2017-07-12
2107264161,2072496780,4763,28,27,23,2017-07-12
199010025,306942058,41,4,2,0,2017-07-12
1445225314,1523011077,27326,2,2,2,2017-07-12
1336220045,882568174,8,1,0,0,2017-07-12
882568174,1886735120,10,1,0,0,2017-07-12
2107264161,1155769568,2571,40,38,33,2017-07-12
1562319742,1981869729,3577,91,81,70,2017-07-12
119102825,1243556596,1193,23,19,18,2017-07-12
1562319742,1058275714,544,6,5,5,2017-07-12
1155769568,1768805330,1,0,0,0,2017-07-12
1697801431,367665957,4,0,0,0,2017-07-12
645787100,195941619,1919,7,6,6,2017-07-12
119102825,1441110689,12607,149,133,119,2017-07-12
516319932,418016778,8319,1,1,1,2017-07-12
1243556596,1886735120,48244,21,20,19,2017-07-12
1328525114,119102825,21,1,1,1,2017-07-12
401107636,1243785496,9,1,0,0,2017-07-12
