A,B,Weight,5,10,15,Date
1243785496,265442043,205,5,5,4,2017-07-11
195941619,1243785496,382,18,12,10,2017-07-11
1981869729,1562319742,1352,28,25,18,2017-07-11
1336220045,1981869729,2198,6,4,4,2017-07-11
119102825,367665957,80,3,3,3,2017-07-11
1523011077,1445225314,32318,4,4,4,2017-07-11
367665957,418016778,8,0,0,0,2017-07-11
401107636,2083901299,6,0,0,0,2017-07-11
1074509745,2083901299,20819,515,452,384,2017-07-11
1267917984,837070604,6,1,0,0,2017-07-11
199010025,367665957,51865,10,10,10,2017-07-11
882568174,418016778,14850,4,4,4,2017-07-11
1523011077,265442043,59414,48,46,46,2017-07-11
1441110689,1155769568,531,22,17,13,2017-07-11
882568174,1441110689,226,8,7,7,2017-07-11
199010025,1260588087,56,4,4,0,2017-07-11
1155769568,1118341011,13,1,1,0,2017-07-11
2107264161,1260588087,6,1,0,0,2017-07-11
119102825,418016778,9257,118,102,94,2017-07-11
1886735120,1697801431,7837,109,93,76,2017-07-11
516319932,837070604,14557,4,4,4,2017-07-11
1523011077,1243556596,1031,20,18,15,2017-07-11
1243785496,761777717,1681,41,35,26,2017-07-11
2056522415,1328525114,4,0,0,0,2017-07-11
292017195,1058275714,62109,17,17,17,2017-07-11
119102825,1562319742,19490,6,6,6,2017-07-11
1058275714,645787100,61115,9,8,7,2017-07-11
1243556596,1441110689,857,31,21,15,2017-07-11
1243785496,1852043824,175,3,2,2,2017-07-11
367665957,1697801431,13032,81,75,72,2017-07-11
119102825,199010025,532,13,9,8,2017-07-11
199010025,837070604,73,3,3,3,2017-07-11
1118341011,2108187232,5,0,0,0,2017-07-11
1523011077,2072496780,2930,17,16,16,2017-07-11
1155769568,1243556596,46521,115,99,91,2017-07-11
2108187232,1336220045,78452,6,6,5,2017-07-11
123367778,195941619,2,0,0,0,2017-07-11
199010025,306942058,41,2,2,2,2017-07-11
1886735120,367665957,55012,5,5,5,2017-07-11
1981869729,292017195,2032,6,6,6,2017-07-11
1441110689,1243785496,2312,71,57,48,2017-07-11
1243556596,418016778,6753,66,62,52,2017-07-11
837070604,1243556596,1372,30,22,20,2017-07-11
1243556596,1268906809,42411,50,46,44,2017-07-11
1441110689,1705068304,52849,94,90,88,2017-07-11
1243785496,1268906809,1521,34,26,25,2017-07-11
1523011077,1155769568,387,7,7,7,2017-07-11
199010025,1697801431,1306,41,34,25,2017-07-11
1243785496,1336220045,49,1,1,1,2017-07-11
1243785496,1886735120,1689,48,37,34,2017-07-11
837070604,1260588087,20,1,1,1,2017-07-11
1118341011,1523011077,20,1,1,0,2017-07-11
1243785496,882568174,32,2,1,1,2017-07-11
1981869729,1118341011,8978,238,209,185,2017-07-11
837070604,1243785496,1002,31,25,23,2017-07-11
645787100,1328525114,15434,5,5,4,2017-07-11
1336220045,199010025,16,1,1,0,2017-07-11
1267917984,1155769568,175,4,3,3,2017-07-11
1074509745,1243785496,43,3,2,0,2017-07-11
1268906809,1697801431,1833,68,57,47,2017-07-11
1243785496,1267917984,14,1,0,0,2017-07-11
1243785496,861880236,45,2,2,1,2017-07-11
1074509745,195941619,9,1,0,0,2017-07-11
418016778,1155769568,1597,43,38,34,2017-07-11
1243556596,1768805330,369,5,4,4,2017-07-11
1336220045,1441110689,28,1,1,1,2017-07-11
1523011077,199010025,150,7,6,6,2017-07-11
1328525114,1441110689,9542,69,63,53,2017-07-11
837070604,123367778,49904,144,124,105,2017-07-11
401107636,868028374,54,2,2,2,2017-07-11
1268906809,199010025,18519,4,4,4,2017-07-11
1155769568,306942058,194,2,2,2,2017-07-11
1267917984,1705068304,92,4,4,3,2017-07-11
1445225314,1243785496,64,2,2,2,2017-07-11
2107264161,1074509745,4572,138,110,95,2017-07-11
1243785496,199010025,2291,47,42,37,2017-07-11
837070604,1981869729,25309,345,310,276,2017-07-11
1403322128,1981869729,1188,17,17,15,2017-07-11
1243785496,119102825,57,1,1,1,2017-07-11
2107264161,1328525114,20765,608,517,439,2017-07-11
1074509745,401107636,1,0,0,0,2017-07-11
2108187232,1267917984,52463,11,10,9,2017-07-11
1328525114,195941619,6734,148,135,118,2017-07-11
1074509745,1441110689,27501,365,333,300,2017-07-11
1886735120,1155769568,59121,62,54,48,2017-07-11
1336220045,1155769568,673,19,15,13,2017-07-11
1058275714,882568174,59416,57,54,54,2017-07-11
1267917984,119102825,13013,205,181,150,2017-07-11
2108187232,367665957,9,1,0,0,2017-07-11
418016778,2072496780,1384,21,20,16,2017-07-11
1155769568,1074509745,245,9,7,4,2017-07-11
1243556596,401107636,14,1,0,0,2017-07-11
119102825,123367778,73,3,2,2,2017-07-11
199010025,761777717,138,5,5,5,2017-07-11
1243556596,1267917984,3,0,0,0,2017-07-11
761777717,1268906809,62,2,2,2,2017-07-11
292017195,882568174,28105,4,4,4,2017-07-11
861880236,837070604,15603,3,3,2,2017-07-11
1267917984,1523011077,643,7,7,7,2017-07-11
1562319742,1336220045,78573,42,38,36,2017-07-11
1981869729,119102825,19812,94,88,85,2017-07-11
2108187232,1562319742,45631,4,4,3,2017-07-11
1243556596,123367778,728,24,20,15,2017-07-11
119102825,1705068304,46051,48,45,42,2017-07-11
1328525114,1155769568,515,16,14,13,2017-07-11
882568174,119102825,176,5,5,4,2017-07-11
123367778,1243785496,129,1,1,1,2017-07-11
1336220045,265442043,192,5,5,5,2017-07-11
1403322128,1118341011,507,14,12,12,2017-07-11
1697801431,1243785496,215,7,5,2,2017-07-11
882568174,837070604,17046,9,9,9,2017-07-11
123367778,1445225314,30036,3,3,3,2017-07-11
868028374,1243785496,415,3,3,3,2017-07-11
292017195,1328525114,10819,3,3,3,2017-07-11
1058275714,119102825,31,1,1,1,2017-07-11
1267917984,199010025,691,11,11,9,2017-07-11
1155769568,496615740,3,0,0,0,2017-07-11
868028374,2107264161,29,1,1,1,2017-07-11
1243556596,553349318,7,0,0,0,2017-07-11
123367778,1118341011,3259,77,64,53,2017-07-11
123367778,1523011077,54418,138,128,123,2017-07-11
645787100,1441110689,92,1,1,1,2017-07-11
1155769568,2107264161,1192,23,17,14,2017-07-11
1267917984,2107264161,86,2,2,2,2017-07-11
306942058,292017195,1,0,0,0,2017-07-11
1768805330,2108187232,8,1,0,0,2017-07-11
861880236,1328525114,9049,2,2,2,2017-07-11
1260588087,123367778,195,11,10,5,2017-07-11
1243785496,1243556596,4870,75,70,64,2017-07-11
418016778,761777717,3,0,0,0,2017-07-11
868028374,1074509745,43719,17,15,12,2017-07-11
195941619,1562319742,11,1,1,0,2017-07-11
516319932,1058275714,63327,7,7,7,2017-07-11
681992259,868028374,30903,7,7,7,2017-07-11
645787100,2056522415,7,0,0,0,2017-07-11
195941619,2108187232,1793,17,15,14,2017-07-11
418016778,1243785496,3320,84,70,57,2017-07-11
1523011077,2083901299,13,1,0,0,2017-07-11
292017195,837070604,12861,3,3,3,2017-07-11
1886735120,1243556596,40833,47,42,41,2017-07-11
1336220045,1267917984,62458,165,152,142,2017-07-11
1267917984,2072496780,970,12,12,11,2017-07-11
1243556596,408433646,109,4,4,4,2017-07-11
123367778,1441110689,13,1,1,0,2017-07-11
1058275714,2072496780,7,1,0,0,2017-07-11
1403322128,1267917984,77525,11,9,8,2017-07-11
750536806,645787100,68439,7,7,7,2017-07-11
199010025,1886735120,11060,3,3,3,2017-07-11
1243785496,1562319742,290,6,5,4,2017-07-11
868028374,1155769568,165,8,6,4,2017-07-11
761777717,123367778,2,0,0,0,2017-07-11
306942058,1267917984,229,12,8,7,2017-07-11
1267917984,418016778,3707,11,9,8,2017-07-11
868028374,123367778,6,0,0,0,2017-07-11
