A,B,Weight,5,10,15,Date
529267318,188022388,1622,44,37,34,2017-06-13
195301567,2120606799,90,4,2,2,2017-06-13
436354849,937382991,25038,397,354,313,2017-06-13
937382991,1297626412,51,2,1,1,2017-06-13
785521379,506787694,6,0,0,0,2017-06-13
1127633220,984585204,2,0,0,0,2017-06-13
1797478476,1855318031,386,10,9,8,2017-06-13
509894971,1340120396,7551,3,3,3,2017-06-13
1028108067,1532059983,180,7,4,3,2017-06-13
1523535840,1797478476,6878,18,18,17,2017-06-13
436354849,1329943085,332,14,10,7,2017-06-13
261506095,1340120396,999,2,2,2,2017-06-13
1813070512,927000717,1304,1,1,1,2017-06-13
1028108067,482638152,141,2,2,2,2017-06-13
195301567,1595046803,754,2,2,2,2017-06-13
529267318,929282399,7,0,0,0,2017-06-13
927000717,766418045,92,5,4,3,2017-06-13
1127633220,1532059983,33,2,1,1,2017-06-13
1542859260,195301567,2,0,0,0,2017-06-13
436354849,1634201119,56079,21,20,20,2017-06-13
13924313,785521379,15,1,0,0,2017-06-13
482638152,717422158,74,3,2,2,2017-06-13
727607194,2019896863,9,0,0,0,2017-06-13
1983103244,1329943085,14484,9,9,9,2017-06-13
667431128,188022388,314,8,7,6,2017-06-13
1750929825,1855318031,98,4,4,3,2017-06-13
2120606799,1028108067,7364,142,126,114,2017-06-13
509894971,937382991,1319,15,15,14,2017-06-13
1813070512,436354849,604,11,11,10,2017-06-13
937382991,2120606799,1476,25,22,20,2017-06-13
1983103244,937382991,4205,20,20,20,2017-06-13
727607194,506787694,2,0,0,0,2017-06-13
1093938767,1523535840,51748,16,16,16,2017-06-13
1813070512,2090913828,17629,3,3,3,2017-06-13
1093938767,425693387,1,0,0,0,2017-06-13
1855318031,529267318,11413,19,16,16,2017-06-13
1542859260,1634201119,55344,9,9,8,2017-06-13
1595046803,766418045,50,2,2,2,2017-06-13
1028108067,1275847397,30,2,2,0,2017-06-13
529267318,1983103244,4757,24,23,18,2017-06-13
929282399,509894971,30,2,0,0,2017-06-13
1028108067,727607194,2962,13,13,11,2017-06-13
927000717,1127633220,1,0,0,0,2017-06-13
1028108067,1983103244,5087,17,17,16,2017-06-13
1797478476,644337676,54959,32,28,24,2017-06-13
482638152,1797478476,4210,58,44,41,2017-06-13
1797478476,727607194,1355,29,21,17,2017-06-13
1523535840,53457775,1412,31,26,23,2017-06-13
1983103244,1634201119,70,1,1,1,2017-06-13
1542859260,1532059983,53479,10,9,9,2017-06-13
766418045,1797478476,53681,33,30,26,2017-06-13
1610791280,937382991,7502,73,60,55,2017-06-13
1813070512,1297626412,5,0,0,0,2017-06-13
482638152,2044268456,76,2,2,2,2017-06-13
1297626412,2120606799,1060,11,11,10,2017-06-13
1093938767,261506095,8,0,0,0,2017-06-13
261506095,509894971,478,9,8,8,2017-06-13
1340120396,482638152,23142,3,3,3,2017-06-13
2019896863,1797478476,2210,35,29,22,2017-06-13
1340120396,506787694,4589,2,2,2,2017-06-13
1127633220,1610791280,1081,21,18,17,2017-06-13
1813070512,188022388,2485,14,13,12,2017-06-13
2120606799,529267318,139,6,3,3,2017-06-13
1797478476,13924313,1102,39,32,25,2017-06-13
1797478476,1297626412,2064,43,35,27,2017-06-13
1542859260,667431128,9,1,0,0,2017-06-13
929282399,195301567,173,11,7,5,2017-06-13
2120606799,13924313,784,16,15,13,2017-06-13
1863652836,1634201119,27561,1,1,1,2017-06-13
717422158,596479765,7,0,0,0,2017-06-13
53457775,1595046803,831,11,11,11,2017-06-13
1093938767,1329943085,16528,8,8,8,2017-06-13
2090913828,1329943085,14757,4,4,4,2017-06-13
1983103244,1340120396,7012,2,2,2,2017-06-13
1855318031,509894971,4216,75,67,58,2017-06-13
482638152,766418045,38,2,2,1,2017-06-13
2090913828,509894971,12194,84,72,63,2017-06-13
509894971,436354849,295,13,8,5,2017-06-13
1542859260,644337676,54523,11,9,8,2017-06-13
1813070512,717422158,208,6,5,5,2017-06-13
1542859260,1028108067,148,6,4,3,2017-06-13
13924313,2044268456,498,20,18,15,2017-06-13
1669106938,1750929825,59803,3,3,3,2017-06-13
717422158,1093938767,196,4,4,4,2017-06-13
785521379,1093938767,107,3,3,3,2017-06-13
529267318,509894971,100,2,2,2,2017-06-13
506787694,2090913828,473,7,7,7,2017-06-13
1797478476,717422158,1903,67,50,36,2017-06-13
1340120396,927000717,1699,30,28,25,2017-06-13
937382991,766418045,10726,450,356,278,2017-06-13
506787694,436354849,2248,14,10,8,2017-06-13
1983103244,1813070512,59722,47,46,45,2017-06-13
2120606799,667431128,1267,15,13,12,2017-06-13
482638152,929282399,92,3,3,2,2017-06-13
717422158,506787694,658,19,17,11,2017-06-13
13924313,927000717,7776,129,114,104,2017-06-13
436354849,425693387,31,2,2,0,2017-06-13
1542859260,506787694,2,0,0,0,2017-06-13
436354849,1855318031,92,4,3,2,2017-06-13
1523535840,2090913828,10409,9,7,6,2017-06-13
1797478476,425693387,235,7,7,7,2017-06-13
785521379,937382991,1,0,0,0,2017-06-13
1863652836,2120606799,54710,1,1,1,2017-06-13
509894971,1813070512,62085,45,44,44,2017-06-13
1983103244,1093938767,61696,18,17,16,2017-06-13
1028108067,436354849,1547,50,45,40,2017-06-13
1863652836,644337676,64212,23,21,21,2017-06-13
1813070512,937382991,155,2,2,2,2017-06-13
1595046803,717422158,142,6,4,3,2017-06-13
13924313,1595046803,1,0,0,0,2017-06-13
1297626412,2019896863,4,0,0,0,2017-06-13
717422158,1329943085,3,0,0,0,2017-06-13
1275847397,482638152,20641,89,84,75,2017-06-13
53457775,1797478476,9931,149,124,106,2017-06-13
436354849,1595046803,975,17,17,15,2017-06-13
766418045,2120606799,63538,69,62,56,2017-06-13
929282399,1813070512,15,2,0,0,2017-06-13
1863652836,1797478476,53374,28,24,21,2017-06-13
529267318,1340120396,6733,8,7,7,2017-06-13
509894971,1093938767,54703,9,8,8,2017-06-13
1634201119,506787694,651,12,8,8,2017-06-13
1523535840,1931053114,63339,11,11,10,2017-06-13
1797478476,1340120396,26,2,0,0,2017-06-13
937382991,1863652836,15743,308,272,242,2017-06-13
1532059983,766418045,37966,1,1,1,2017-06-13
482638152,984585204,22326,103,94,83,2017-06-13
1595046803,667431128,4,0,0,0,2017-06-13
1983103244,195301567,42,1,1,1,2017-06-13
53457775,506787694,1953,21,20,20,2017-06-13
1797478476,1329943085,193,5,4,4,2017-06-13
