A,B,Weight,5,10,15,Date
436354849,937382991,35,2,1,1,2017-06-12
1813070512,1855318031,4240,26,23,20,2017-06-12
1797478476,1855318031,732,18,14,12,2017-06-12
509894971,929282399,21,0,0,0,2017-06-12
929282399,727607194,8,0,0,0,2017-06-12
53457775,727607194,367,13,8,8,2017-06-12
195301567,1523535840,2,0,0,0,2017-06-12
1813070512,927000717,161,1,1,1,2017-06-12
1634201119,1813070512,1,0,0,0,2017-06-12
1813070512,1093938767,57654,39,38,38,2017-06-12
1797478476,1532059983,53302,27,22,17,2017-06-12
1931053114,1523535840,5742,125,105,86,2017-06-12
436354849,261506095,29,2,2,0,2017-06-12
436354849,1634201119,49056,11,10,9,2017-06-12
2120606799,1813070512,1563,17,17,17,2017-06-12
1595046803,929282399,5,0,0,0,2017-06-12
53457775,1093938767,1010,6,6,6,2017-06-12
482638152,717422158,1,0,0,0,2017-06-12
1983103244,1329943085,130,4,3,3,2017-06-12
1127633220,766418045,19,1,1,1,2017-06-12
1750929825,1855318031,4447,39,32,29,2017-06-12
2120606799,1028108067,10909,45,34,32,2017-06-12
1340120396,1093938767,3714,3,3,3,2017-06-12
717422158,13924313,27,2,1,0,2017-06-12
937382991,2120606799,14059,95,85,76,2017-06-12
1093938767,1523535840,63640,23,23,22,2017-06-12
13924313,1127633220,155,5,4,2,2017-06-12
1542859260,1750929825,57,2,2,2,2017-06-12
1797478476,1813070512,1350,32,26,21,2017-06-12
436354849,13924313,259,7,7,7,2017-06-12
506787694,529267318,8,1,0,0,2017-06-12
1595046803,1542859260,53,4,1,1,2017-06-12
53457775,436354849,1222,26,20,17,2017-06-12
1797478476,2019896863,730,16,15,14,2017-06-12
1797478476,1983103244,1221,17,16,14,2017-06-12
1669106938,386541381,287,1,1,1,2017-06-12
12547397,1319384206,49051,1,1,1,2017-06-12
1797478476,2120606799,4787,118,97,82,2017-06-12
766418045,1797478476,53729,35,31,28,2017-06-12
1813070512,1297626412,26,2,2,0,2017-06-12
1610791280,2120606799,1769,60,47,40,2017-06-12
1797478476,785521379,791,25,19,15,2017-06-12
13924313,1797478476,611,22,19,12,2017-06-12
261506095,667431128,63703,13,13,11,2017-06-12
596479765,929282399,12,1,0,0,2017-06-12
1093938767,261506095,64855,8,7,7,2017-06-12
261506095,509894971,13690,94,83,74,2017-06-12
1340120396,482638152,9656,9,7,5,2017-06-12
904281690,506787694,5,0,0,0,2017-06-12
937382991,1093938767,312,12,11,11,2017-06-12
529267318,1028108067,1793,2,2,2,2017-06-12
2090913828,1093938767,4129,3,2,2,2017-06-12
1813070512,188022388,1591,16,15,13,2017-06-12
509894971,1093938767,58282,16,15,15,2017-06-12
1813070512,509894971,63859,17,17,17,2017-06-12
785521379,717422158,81,5,3,2,2017-06-12
667431128,1542859260,14,1,0,0,2017-06-12
929282399,195301567,59918,3,1,1,2017-06-12
717422158,1093938767,6,0,0,0,2017-06-12
2120606799,13924313,1436,14,13,11,2017-06-12
1863652836,1634201119,63621,4,4,4,2017-06-12
2090913828,1797478476,212,8,5,3,2017-06-12
667431128,1855318031,1151,16,14,13,2017-06-12
506787694,1610791280,1485,18,17,16,2017-06-12
