A,B,Weight,5,10,15,Date
2120606799,436354849,48907,17,15,13,2017-06-17
2019896863,436354849,99,4,3,3,2017-06-17
1931053114,509894971,376,7,7,7,2017-06-17
1532059983,644337676,12006,23,22,22,2017-06-17
1855318031,927000717,5,0,0,0,2017-06-17
929282399,1523535840,2,0,0,0,2017-06-17
644337676,984585204,2,0,0,0,2017-06-17
12547397,1319384206,49841,64,63,62,2017-06-17
1093938767,509894971,340,7,6,5,2017-06-17
644337676,195301567,1152,25,24,22,2017-06-17
984585204,482638152,19308,265,233,202,2017-06-17
1532059983,766418045,19578,33,33,33,2017-06-17
13924313,482638152,22447,1,1,1,2017-06-17
529267318,929282399,1,0,0,0,2017-06-17
929282399,436354849,113,3,2,2,2017-06-17
1669106938,1750929825,26233,4,4,4,2017-06-17
2120606799,644337676,75672,14,14,13,2017-06-17
1127633220,425693387,6,0,0,0,2017-06-17
1297626412,927000717,125,4,4,4,2017-06-17
261506095,1028108067,847,6,6,6,2017-06-17
929282399,1127633220,51873,451,406,372,2017-06-17
1931053114,1523535840,14317,24,24,23,2017-06-17
644337676,425693387,691,20,19,16,2017-06-17
727607194,927000717,1,0,0,0,2017-06-17
261506095,717422158,396,11,9,8,2017-06-17
1595046803,929282399,3,0,0,0,2017-06-17
13924313,984585204,276,5,4,4,2017-06-17
1750929825,1319384206,39561,307,298,277,2017-06-17
1595046803,195301567,1,0,0,0,2017-06-17
195301567,436354849,165,7,4,3,2017-06-17
1093938767,2019896863,263,10,9,7,2017-06-17
596479765,436354849,111,3,2,2,2017-06-17
1669106938,1319384206,45714,73,73,72,2017-06-17
1127633220,727607194,71,3,2,2,2017-06-17
436354849,1532059983,19009,29,27,27,2017-06-17
1855318031,436354849,114,6,4,3,2017-06-17
1329943085,509894971,117,5,3,2,2017-06-17
1750929825,1855318031,6225,60,54,46,2017-06-17
188022388,1093938767,19,1,1,1,2017-06-17
2120606799,1028108067,132,6,5,5,2017-06-17
1127633220,927000717,2,0,0,0,2017-06-17
644337676,596479765,428,15,13,11,2017-06-17
529267318,644337676,181,11,6,4,2017-06-17
13924313,644337676,1170,1,1,1,2017-06-17
644337676,1127633220,451,18,14,13,2017-06-17
2120606799,1532059983,19639,39,39,38,2017-06-17
717422158,927000717,1,0,0,0,2017-06-17
785521379,927000717,5,0,0,0,2017-06-17
929282399,927000717,7,0,0,0,2017-06-17
1523535840,644337676,48,1,1,1,2017-06-17
644337676,2019896863,275,7,6,5,2017-06-17
1297626412,727607194,134,6,5,3,2017-06-17
13924313,506787694,50111,1,1,1,2017-06-17
261506095,436354849,51,3,2,1,2017-06-17
529267318,1329943085,13288,9,9,9,2017-06-17
1329943085,998750028,25757,589,523,460,2017-06-17
2019896863,1297626412,70,2,2,1,2017-06-17
506787694,644337676,3348,2,2,2,2017-06-17
1750929825,929282399,162,2,2,2,2017-06-17
1028108067,1093938767,4105,12,11,11,2017-06-17
998750028,436354849,22,1,1,1,2017-06-17
927000717,436354849,92,3,1,1,2017-06-17
644337676,1496149278,9,1,0,0,2017-06-17
1093938767,436354849,103,4,3,3,2017-06-17
1595046803,509894971,10,1,0,0,2017-06-17
2120606799,766418045,13534,11,11,11,2017-06-17
644337676,143668405,152,5,5,4,2017-06-17
1931053114,261506095,4348,31,29,26,2017-06-17
717422158,2019896863,112,2,2,2,2017-06-17
766418045,644337676,15882,7,6,5,2017-06-17
1028108067,436354849,6,1,0,0,2017-06-17
1931053114,1093938767,18896,101,92,88,2017-06-17
1093938767,261506095,23,1,1,1,2017-06-17
261506095,509894971,1,0,0,0,2017-06-17
1523535840,1093938767,12804,67,62,58,2017-06-17
644337676,482638152,165,1,1,1,2017-06-17
1329943085,1523535840,1969,24,22,20,2017-06-17
1093938767,2120606799,472,11,7,6,2017-06-17
436354849,766418045,84445,3,3,3,2017-06-17
644337676,927000717,151,5,5,4,2017-06-17
1750929825,1297626412,2,0,0,0,2017-06-17
785521379,727607194,4,0,0,0,2017-06-17
188022388,436354849,47,2,2,2,2017-06-17
644337676,1329943085,433,10,9,7,2017-06-17
785521379,261506095,1321,50,42,36,2017-06-17
2019896863,2120606799,43,4,2,0,2017-06-17
717422158,1093938767,18,2,0,0,2017-06-17
1297626412,1340120396,11,0,0,0,2017-06-17
1297626412,1595046803,1,0,0,0,2017-06-17
