A,B,Weight,5,10,15,Date
1523535840,509894971,10767,58,56,48,2017-06-16
2120606799,436354849,4608,47,42,38,2017-06-16
1297626412,1797478476,495,21,15,13,2017-06-16
1275847397,1797478476,72,2,2,2,2017-06-16
261506095,2019896863,20,1,0,0,2017-06-16
1863652836,1797478476,5966,12,11,8,2017-06-16
1797478476,1855318031,255,13,9,7,2017-06-16
1750929825,1595046803,1314,22,21,20,2017-06-16
436354849,1542859260,8,1,0,0,2017-06-16
2120606799,261506095,677,12,10,9,2017-06-16
644337676,984585204,22,2,1,0,2017-06-16
1523535840,1931053114,24813,146,136,118,2017-06-16
529267318,1093938767,14811,5,5,5,2017-06-16
12547397,1319384206,37212,8,8,8,2017-06-16
1523535840,1797478476,237,9,7,6,2017-06-16
727607194,1797478476,77,3,3,2,2017-06-16
1797478476,261506095,522,11,8,5,2017-06-16
53457775,1542859260,1883,1,1,1,2017-06-16
425693387,904281690,2531,30,25,23,2017-06-16
1523535840,1983103244,12265,32,32,32,2017-06-16
929282399,509894971,14,0,0,0,2017-06-16
13924313,482638152,20794,1,1,1,2017-06-16
1797478476,40136724,4,0,0,0,2017-06-16
509894971,1855318031,9,1,0,0,2017-06-16
1523535840,1028108067,1361,23,20,17,2017-06-16
929282399,436354849,2990,20,13,12,2017-06-16
436354849,13924313,89,4,2,2,2017-06-16
1797478476,1329943085,451,11,11,11,2017-06-16
436354849,785521379,203,10,8,5,2017-06-16
1028108067,53457775,17171,50,48,46,2017-06-16
482638152,1275847397,2707,31,26,21,2017-06-16
1127633220,1532059983,28,1,1,1,2017-06-16
1297626412,927000717,5,0,0,0,2017-06-16
529267318,509894971,12806,3,3,2,2017-06-16
261506095,1028108067,5456,29,29,28,2017-06-16
929282399,1127633220,25790,786,676,546,2017-06-16
436354849,261506095,1104,29,23,18,2017-06-16
1127633220,1797478476,342,8,6,2,2017-06-16
727607194,927000717,8,1,0,0,2017-06-16
436354849,927000717,122,4,4,4,2017-06-16
596479765,1542859260,55,2,2,2,2017-06-16
2120606799,2019896863,2,0,0,0,2017-06-16
1931053114,509894971,12418,70,65,58,2017-06-16
436354849,53457775,6839,1,1,1,2017-06-16
1855318031,1297626412,53,3,2,2,2017-06-16
1595046803,1542859260,20,1,1,1,2017-06-16
1297626412,195301567,2,0,0,0,2017-06-16
509894971,1542859260,61,2,2,2,2017-06-16
785521379,1750929825,5,0,0,0,2017-06-16
717422158,1750929825,21,2,1,0,2017-06-16
929282399,2019896863,305,4,4,3,2017-06-16
1523535840,1329943085,17677,35,33,31,2017-06-16
509894971,12547397,3371,6,6,6,2017-06-16
13924313,644337676,79017,2,2,2,2017-06-16
436354849,1931053114,809,28,24,20,2017-06-16
596479765,1983103244,131,2,2,2,2017-06-16
1127633220,1610791280,1635,16,15,14,2017-06-16
1542859260,1797478476,3088,2,2,2,2017-06-16
506787694,1634201119,179,5,5,5,2017-06-16
1931053114,261506095,14426,87,79,72,2017-06-16
1532059983,1542859260,1353,21,21,18,2017-06-16
927000717,1797478476,848,11,10,10,2017-06-16
1329943085,1093938767,23390,16,14,13,2017-06-16
1855318031,436354849,893,29,27,23,2017-06-16
1329943085,509894971,13007,5,5,5,2017-06-16
1127633220,509894971,1,0,0,0,2017-06-16
436354849,717422158,651,28,21,14,2017-06-16
1863652836,1542859260,3178,3,3,3,2017-06-16
1523535840,261506095,15465,30,27,25,2017-06-16
2120606799,1028108067,1279,33,30,25,2017-06-16
12547397,1542859260,3,0,0,0,2017-06-16
1797478476,188022388,662,8,6,3,2017-06-16
436354849,727607194,545,18,14,12,2017-06-16
436354849,188022388,274,11,7,7,2017-06-16
195301567,1797478476,701,10,6,6,2017-06-16
436354849,1297626412,1420,38,34,27,2017-06-16
2120606799,1532059983,72335,230,216,193,2017-06-16
1931053114,1797478476,573,11,11,10,2017-06-16
1127633220,53457775,1272,20,20,19,2017-06-16
1855318031,529267318,18405,406,367,315,2017-06-16
1610791280,436354849,2833,2,2,2,2017-06-16
1532059983,436354849,1987,26,20,17,2017-06-16
436354849,2019896863,856,20,16,16,2017-06-16
529267318,1983103244,11717,34,34,34,2017-06-16
1523535840,644337676,31,1,1,1,2017-06-16
1669106938,1750929825,67945,1,1,1,2017-06-16
717422158,1797478476,245,13,5,4,2017-06-16
436354849,529267318,656,20,16,13,2017-06-16
13924313,506787694,64542,1,1,1,2017-06-16
529267318,1329943085,15056,3,2,2,2017-06-16
1329943085,998750028,30,2,2,1,2017-06-16
436354849,195301567,686,20,19,15,2017-06-16
1319384206,509894971,2698,1,1,1,2017-06-16
436354849,596479765,1337,29,27,26,2017-06-16
1750929825,509894971,9,1,0,0,2017-06-16
195301567,596479765,75693,23,19,18,2017-06-16
1797478476,2120606799,4525,29,28,25,2017-06-16
929282399,1983103244,2,0,0,0,2017-06-16
1028108067,1093938767,2189,6,6,6,2017-06-16
1797478476,1983103244,95,2,2,2,2017-06-16
425693387,436354849,124,5,4,4,2017-06-16
12547397,1750929825,2,0,0,0,2017-06-16
506787694,1797478476,11,1,0,0,2017-06-16
785521379,717422158,16,1,1,0,2017-06-16
1863652836,1127633220,180,3,3,3,2017-06-16
1931053114,1983103244,18506,12,12,10,2017-06-16
482638152,1797478476,53,2,2,1,2017-06-16
1093938767,436354849,812,19,16,13,2017-06-16
766418045,1797478476,857,24,19,16,2017-06-16
1610791280,2120606799,15341,2,2,2,2017-06-16
425693387,2019896863,19,1,1,1,2017-06-16
1127633220,727607194,3,0,0,0,2017-06-16
1127633220,785521379,5,0,0,0,2017-06-16
596479765,1797478476,418,13,9,6,2017-06-16
785521379,1797478476,585,21,13,12,2017-06-16
929282399,727607194,24,2,0,0,2017-06-16
2019896863,717422158,303,3,3,2,2017-06-16
1127633220,1028108067,287,7,6,6,2017-06-16
1595046803,1297626412,4,0,0,0,2017-06-16
1931053114,1093938767,18244,60,55,49,2017-06-16
1093938767,261506095,21927,13,13,13,2017-06-16
1275847397,13924313,3241,50,44,36,2017-06-16
261506095,509894971,14415,2,2,2,2017-06-16
1523535840,1093938767,26570,20,20,19,2017-06-16
1340120396,2019896863,2452,3,3,3,2017-06-16
1319384206,1669106938,76612,16,16,16,2017-06-16
2019896863,1797478476,191,5,5,5,2017-06-16
436354849,766418045,2564,11,9,7,2017-06-16
1523535840,529267318,906,2,2,2,2017-06-16
509894971,1297626412,17,1,1,0,2017-06-16
1750929825,1297626412,5,0,0,0,2017-06-16
1863652836,766418045,41062,46,46,46,2017-06-16
436354849,998750028,30,1,1,1,2017-06-16
904281690,727607194,4,0,0,0,2017-06-16
727607194,1297626412,1,0,0,0,2017-06-16
1610791280,2019896863,19787,9,6,6,2017-06-16
998750028,1797478476,665,17,15,14,2017-06-16
785521379,261506095,45133,342,321,286,2017-06-16
1983103244,261506095,6552,92,86,71,2017-06-16
1863652836,1532059983,41306,46,46,46,2017-06-16
1750929825,1855318031,292,6,6,5,2017-06-16
1610791280,1542859260,24,1,1,1,2017-06-16
929282399,1797478476,690,11,10,4,2017-06-16
644337676,1797478476,27,1,1,0,2017-06-16
482638152,984585204,19042,138,124,106,2017-06-16
2019896863,1028108067,3632,13,13,11,2017-06-16
261506095,717422158,31824,395,373,347,2017-06-16
1983103244,509894971,9167,71,62,59,2017-06-16
1279466712,1797478476,93,1,1,1,2017-06-16
1595046803,1797478476,728,19,18,17,2017-06-16
1610791280,53457775,26698,55,55,55,2017-06-16
1595046803,529267318,263,2,2,2,2017-06-16
1931053114,529267318,907,2,2,2,2017-06-16
195301567,1542859260,11,0,0,0,2017-06-16
1319384206,1750929825,85610,12,12,12,2017-06-16
436354849,482638152,101,6,3,2,2017-06-16
644337676,1275847397,61386,78,76,73,2017-06-16
1297626412,2019896863,4,0,0,0,2017-06-16
509894971,436354849,421,18,12,9,2017-06-16
436354849,506787694,69,3,2,1,2017-06-16
984585204,1275847397,51577,46,44,44,2017-06-16
1532059983,1797478476,3971,53,48,37,2017-06-16
2120606799,1093938767,373,10,8,8,2017-06-16
53457775,2120606799,15465,69,68,66,2017-06-16
1863652836,436354849,1950,29,27,23,2017-06-16
1797478476,1093938767,392,11,9,8,2017-06-16
1523535840,2120606799,5,0,0,0,2017-06-16
1127633220,2120606799,146,6,6,4,2017-06-16
1523535840,436354849,348,11,10,6,2017-06-16
1319384206,386541381,11314,3,3,3,2017-06-16
1275847397,506787694,84,5,3,2,2017-06-16
644337676,506787694,80801,3,3,3,2017-06-16
1127633220,1093938767,2,0,0,0,2017-06-16
717422158,1093938767,83,2,2,2,2017-06-16
436354849,904281690,36,1,1,1,2017-06-16
1610791280,1797478476,143,7,4,3,2017-06-16
436354849,644337676,85,5,2,2,2017-06-16
785521379,1093938767,85,2,2,2,2017-06-16
727607194,1542859260,12,1,1,0,2017-06-16
436354849,143668405,68,4,3,2,2017-06-16
766418045,1532059983,81637,21,20,20,2017-06-16
386541381,1750929825,60227,2,2,2,2017-06-16
2120606799,644337676,3,0,0,0,2017-06-16
1093938767,188022388,59,2,2,2,2017-06-16
1093938767,509894971,16163,15,13,12,2017-06-16
1523535840,929282399,2,0,0,0,2017-06-16
785521379,2019896863,73,2,2,2,2017-06-16
261506095,1329943085,13428,78,69,60,2017-06-16
984585204,13924313,14080,527,427,345,2017-06-16
1595046803,436354849,620,11,8,8,2017-06-16
1093938767,929282399,3,0,0,0,2017-06-16
785521379,1542859260,6,1,0,0,2017-06-16
1750929825,1542859260,93,3,3,3,2017-06-16
509894971,1595046803,319,6,6,6,2017-06-16
1329943085,1983103244,14662,46,43,42,2017-06-16
727607194,596479765,2441,55,49,42,2017-06-16
13924313,1797478476,25,1,1,1,2017-06-16
