A,B,Weight,5,10,15,Date
436354849,1595046803,288,8,8,7,2017-06-18
529267318,188022388,528,24,19,15,2017-06-18
436354849,1542859260,256,6,6,5,2017-06-18
766418045,2120606799,50062,2,2,2,2017-06-18
506787694,425693387,67,2,2,2,2017-06-18
436354849,482638152,73,4,3,2,2017-06-18
1542859260,425693387,11,1,0,0,2017-06-18
482638152,1855318031,4,0,0,0,2017-06-18
1931053114,1542859260,16,1,1,1,2017-06-18
1542859260,1595046803,65,2,2,2,2017-06-18
1523535840,1931053114,15996,153,146,143,2017-06-18
929282399,727607194,40,3,2,0,2017-06-18
904281690,425693387,76,5,3,1,2017-06-18
1595046803,1855318031,6,1,0,0,2017-06-18
644337676,766418045,49696,38,38,36,2017-06-18
506787694,1127633220,1,0,0,0,2017-06-18
1127633220,425693387,22538,1,1,1,2017-06-18
436354849,1127633220,774,15,12,12,2017-06-18
482638152,506787694,7350,6,6,5,2017-06-18
929282399,1127633220,1395,12,12,11,2017-06-18
1931053114,1329943085,34,1,1,1,2017-06-18
2120606799,482638152,27,2,1,1,2017-06-18
2120606799,1542859260,36,2,1,1,2017-06-18
929282399,596479765,81,3,2,2,2017-06-18
1542859260,927000717,3,0,0,0,2017-06-18
1750929825,386541381,39033,4,4,4,2017-06-18
482638152,717422158,15,1,1,0,2017-06-18
1127633220,644337676,7968,2,2,1,2017-06-18
1542859260,717422158,135,7,5,5,2017-06-18
929282399,2019896863,130,5,3,3,2017-06-18
644337676,2120606799,11773,52,41,34,2017-06-18
386541381,927000717,27,2,1,1,2017-06-18
1542859260,1275847397,9,1,0,0,2017-06-18
1127633220,727607194,26633,496,403,332,2017-06-18
1595046803,1297626412,1,0,0,0,2017-06-18
482638152,13924313,8364,1,1,1,2017-06-18
1127633220,1634201119,632,1,1,1,2017-06-18
13924313,425693387,26,1,1,1,2017-06-18
436354849,1297626412,1420,7,7,4,2017-06-18
927000717,929282399,5,0,0,0,2017-06-18
766418045,436354849,57768,6,6,6,2017-06-18
1542859260,1855318031,2,0,0,0,2017-06-18
2120606799,929282399,30,1,1,1,2017-06-18
482638152,785521379,7,1,0,0,2017-06-18
1542859260,727607194,5,0,0,0,2017-06-18
436354849,2019896863,1,0,0,0,2017-06-18
143668405,1329943085,720,1,1,1,2017-06-18
436354849,13924313,99,2,2,2,2017-06-18
436354849,529267318,389,6,6,5,2017-06-18
1329943085,998750028,29,2,2,0,2017-06-18
2019896863,1297626412,1,0,0,0,2017-06-18
506787694,13924313,4836,7,7,6,2017-06-18
13924313,1275847397,2062,73,64,51,2017-06-18
436354849,596479765,3,0,0,0,2017-06-18
1542859260,482638152,91,2,2,2,2017-06-18
195301567,596479765,35046,119,115,110,2017-06-18
1127633220,2019896863,18,2,0,0,2017-06-18
785521379,717422158,118,4,3,2,2017-06-18
2120606799,1127633220,13597,22,20,19,2017-06-18
1542859260,929282399,17,1,0,0,2017-06-18
1127633220,785521379,452,4,4,4,2017-06-18
2019896863,717422158,39,1,1,1,2017-06-18
766418045,1855318031,17,1,1,1,2017-06-18
1028108067,1127633220,8426,8,5,4,2017-06-18
929282399,506787694,38791,35,35,34,2017-06-18
727607194,785521379,7,0,0,0,2017-06-18
1329943085,1523535840,31,1,1,1,2017-06-18
1595046803,785521379,6,1,0,0,2017-06-18
1542859260,766418045,50,3,2,2,2017-06-18
436354849,2044268456,101,4,4,4,2017-06-18
425693387,1297626412,5,0,0,0,2017-06-18
727607194,1297626412,325,13,10,8,2017-06-18
529267318,13924313,46776,4,4,4,2017-06-18
436354849,929282399,69,3,2,0,2017-06-18
2120606799,13924313,284,5,3,3,2017-06-18
1542859260,1297626412,66,3,3,1,2017-06-18
2120606799,927000717,152,5,5,4,2017-06-18
2019896863,1028108067,1,0,0,0,2017-06-18
1542859260,596479765,18,1,1,1,2017-06-18
436354849,2120606799,17828,29,29,27,2017-06-18
1750929825,1669106938,31916,109,104,96,2017-06-18
