A,B,Weight,5,10,15,Date
722892951,409017060,1230,25,22,20,2017-05-31
1662800680,664876639,31,1,1,1,2017-05-31
517927682,664876639,78124,9,9,9,2017-05-31
1662800680,1054474252,16045,5,5,5,2017-05-31
1633008291,39289471,851,10,10,10,2017-05-31
126917245,1507003269,66512,34,34,33,2017-05-31
1412465344,409017060,11,1,0,0,2017-05-31
1911249844,1639722367,51,2,2,2,2017-05-31
185220184,1946984457,9010,23,22,20,2017-05-31
1486352360,409017060,5,0,0,0,2017-05-31
212000350,2118077294,2,0,0,0,2017-05-31
126917245,1596461864,775,17,14,13,2017-05-31
875194475,289647643,1,0,0,0,2017-05-31
1054474252,1822997786,5,0,0,0,2017-05-31
1738013984,185220184,4,0,0,0,2017-05-31
126917245,1822997786,348,12,8,8,2017-05-31
589128542,208055742,4,0,0,0,2017-05-31
1486352360,1596461864,2200,5,5,5,2017-05-31
1666138047,1164132751,1,0,0,0,2017-05-31
212000350,1054474252,13657,15,14,14,2017-05-31
1639722367,1946984457,18,1,0,0,2017-05-31
352803492,141963075,2,0,0,0,2017-05-31
141963075,1164132751,15362,5,5,5,2017-05-31
1777531055,614208048,5749,3,3,3,2017-05-31
743115867,1073792041,8373,113,93,73,2017-05-31
722892951,517927682,12295,105,95,86,2017-05-31
126917245,898746163,642,20,15,13,2017-05-31
212000350,875194475,15919,11,10,10,2017-05-31
141963075,589128542,86,5,3,2,2017-05-31
722892951,1623619054,17510,34,30,26,2017-05-31
1996782215,1639722367,2,0,0,0,2017-05-31
1862985898,1649770657,13,0,0,0,2017-05-31
743115867,1633008291,55314,14,14,14,2017-05-31
722892951,289647643,633,20,12,11,2017-05-31
798607520,1054474252,4,0,0,0,2017-05-31
1940223199,1075659491,9,1,0,0,2017-05-31
722892951,208055742,589,11,7,7,2017-05-31
1639722367,289647643,61,4,2,1,2017-05-31
352803492,1738013984,154,5,5,4,2017-05-31
1596461864,1777531055,4903,4,4,3,2017-05-31
1996782215,2012117719,1,0,0,0,2017-05-31
875194475,185220184,7257,13,13,12,2017-05-31
126917245,1661934886,60,4,1,0,2017-05-31
1596461864,1946984457,3,0,0,0,2017-05-31
1054474252,126917245,723,25,21,18,2017-05-31
1596461864,898746163,13,1,0,0,2017-05-31
39289471,1822997786,62,2,2,2,2017-05-31
1738013984,875194475,25,1,1,1,2017-05-31
1633008291,1626621083,235,8,7,7,2017-05-31
1075659491,409017060,1012,5,5,4,2017-05-31
1633008291,875194475,96,6,4,2,2017-05-31
1649770657,50085297,448,4,4,4,2017-05-31
517927682,1596461864,167,3,2,2,2017-05-31
1633008291,823871393,337,13,10,8,2017-05-31
1020001783,875194475,54146,6,6,6,2017-05-31
1940223199,212000350,1072,22,21,19,2017-05-31
185220184,1862985898,85,3,3,3,2017-05-31
