A,B,Weight,5,10,15,Date
722892951,409017060,126,2,2,2,2017-05-30
352803492,1627165108,18,2,0,0,2017-05-30
352803492,589128542,1487,2,2,2,2017-05-30
1633008291,39289471,1494,48,37,31,2017-05-30
289647643,2012117719,67,3,2,2,2017-05-30
126917245,1507003269,47239,16,15,13,2017-05-30
39289471,1048805030,5,0,0,0,2017-05-30
664876639,344813644,1290,45,36,27,2017-05-30
1633008291,185220184,163,3,3,3,2017-05-30
1851298765,653676740,28,1,1,1,2017-05-30
1073792041,517927682,49278,492,428,379,2017-05-30
185220184,1967567786,42,3,2,1,2017-05-30
451580037,1649570713,62,2,1,1,2017-05-30
1649770657,1894345033,6,0,0,0,2017-05-30
409017060,372130603,3952,2,2,2,2017-05-30
875194475,1054474252,15414,7,7,7,2017-05-30
743115867,1649570713,179,11,5,4,2017-05-30
1633008291,517927682,59282,8,8,8,2017-05-30
743115867,1164132751,114,4,4,4,2017-05-30
898746163,1639722367,3787,5,3,3,2017-05-30
1054474252,1075659491,7,0,0,0,2017-05-30
212000350,1054474252,7543,9,9,9,2017-05-30
1048805030,1075659491,4,0,0,0,2017-05-30
898746163,2012117719,84,3,2,2,2017-05-30
1639722367,1073792041,2699,42,33,28,2017-05-30
1623619054,517927682,45027,180,163,151,2017-05-30
722892951,517927682,5842,4,4,4,2017-05-30
126917245,1851298765,3,0,0,0,2017-05-30
743115867,1633008291,50557,51,45,44,2017-05-30
1073792041,664876639,9374,158,137,109,2017-05-30
1894345033,1633008291,47111,9,8,8,2017-05-30
39289471,898746163,20,1,1,0,2017-05-30
1639722367,289647643,61,3,2,2,2017-05-30
352803492,1738013984,342,13,11,9,2017-05-30
875194475,185220184,781,21,18,17,2017-05-30
664876639,1507003269,61204,23,23,22,2017-05-30
722892951,1777531055,393,12,11,10,2017-05-30
141963075,1075659491,40,2,1,1,2017-05-30
589128542,743115867,43,3,2,1,2017-05-30
589128542,2012117719,46,1,1,1,2017-05-30
722892951,1967567786,1043,18,16,14,2017-05-30
664876639,1633008291,56839,18,16,15,2017-05-30
1633008291,823871393,44,2,2,2,2017-05-30
1020001783,875194475,14752,7,7,7,2017-05-30
1940223199,212000350,1413,41,31,28,2017-05-30
1075659491,2012117719,69,3,3,2,2017-05-30
1486352360,722892951,748,19,17,14,2017-05-30
39289471,1851298765,4887,5,5,4,2017-05-30
1777531055,1507003269,176,1,1,1,2017-05-30
898746163,1940223199,6,0,0,0,2017-05-30
1626621083,722892951,2,0,0,0,2017-05-30
1639722367,185220184,4,0,0,0,2017-05-30
1623619054,664876639,65390,117,103,97,2017-05-30
426300644,1623619054,3,0,0,0,2017-05-30
1940223199,1649770657,2,0,0,0,2017-05-30
1633008291,344813644,7356,134,115,89,2017-05-30
1623619054,1649570713,76,3,3,3,2017-05-30
743115867,2012117719,58821,14,13,12,2017-05-30
1777531055,1048805030,968,31,27,21,2017-05-30
1073792041,1633008291,10658,69,62,51,2017-05-30
126917245,2012117719,53053,141,132,122,2017-05-30
