A,B,Weight,5,10,15,Date
722892951,409017060,243,6,4,4,2017-06-02
1894345033,589128542,1534,11,10,9,2017-06-02
372130603,823871393,7,1,0,0,2017-06-02
1075659491,1151049880,2,0,0,0,2017-06-02
39289471,798607520,7605,32,30,30,2017-06-02
409017060,372130603,27875,7,7,7,2017-06-02
126917245,1822997786,364,14,13,8,2017-06-02
1639722367,1946984457,19,1,1,1,2017-06-02
1075659491,798607520,35,2,2,2,2017-06-02
743115867,1073792041,3,0,0,0,2017-06-02
722892951,517927682,6,0,0,0,2017-06-02
126917245,898746163,251,3,3,3,2017-06-02
1020001783,1054474252,20386,4,4,4,2017-06-02
1649570713,126917245,2,0,0,0,2017-06-02
141963075,589128542,10,1,0,0,2017-06-02
1073792041,664876639,2814,9,9,9,2017-06-02
1894345033,1633008291,62593,37,37,37,2017-06-02
722892951,208055742,564,11,11,11,2017-06-02
352803492,1738013984,81,1,1,1,2017-06-02
875194475,185220184,6982,36,35,33,2017-06-02
722892951,1073792041,160,5,5,4,2017-06-02
1596461864,898746163,3,0,0,0,2017-06-02
39289471,1822997786,1,0,0,0,2017-06-02
1075659491,409017060,66124,9,9,9,2017-06-02
1054474252,722892951,1153,19,18,16,2017-06-02
1633008291,1005168943,4,0,0,0,2017-06-02
1020001783,875194475,24394,5,3,3,2017-06-02
1486352360,722892951,539,3,2,2,2017-06-02
1073792041,589128542,1666,11,11,11,2017-06-02
352803492,50085297,354,4,4,4,2017-06-02
1164132751,141963075,54227,11,11,11,2017-06-02
126917245,352803492,117,3,3,3,2017-06-02
1075659491,1005168943,6951,10,10,10,2017-06-02
1073792041,1633008291,16562,232,217,202,2017-06-02
1054474252,50085297,75,2,2,2,2017-06-02
1649570713,722892951,13,1,0,0,2017-06-02
352803492,1618409803,5,0,0,0,2017-06-02
1486352360,1073792041,2,0,0,0,2017-06-02
344813644,126917245,759,13,12,11,2017-06-02
898746163,1626621083,29345,5,5,4,2017-06-02
1073792041,1639722367,349,2,2,2,2017-06-02
1633008291,1618409803,47,4,1,1,2017-06-02
185220184,722892951,366,12,9,7,2017-06-02
1666138047,589128542,5,0,0,0,2017-06-02
372130603,1738013984,1,0,0,0,2017-06-02
451580037,898746163,2531,6,6,5,2017-06-02
1626621083,1946984457,9,1,0,0,2017-06-02
1649570713,589128542,10,0,0,0,2017-06-02
50085297,1412465344,51,1,1,1,2017-06-02
451580037,738271158,19268,2,2,2,2017-06-02
126917245,1911249844,6,0,0,0,2017-06-02
1412465344,653676740,80816,3,3,3,2017-06-02
1894345033,664876639,237,3,3,2,2017-06-02
39289471,798812950,744,2,2,2,2017-06-02
875194475,1054474252,21187,14,14,14,2017-06-02
1777531055,1862985898,24588,6,6,6,2017-06-02
722892951,743115867,36,3,2,0,2017-06-02
1639722367,1225960365,77205,5,5,5,2017-06-02
1618409803,798607520,60,3,2,2,2017-06-02
875194475,1633008291,6,1,0,0,2017-06-02
1626621083,722892951,285,4,4,4,2017-06-02
126917245,120344177,74350,80,76,76,2017-06-02
126917245,517927682,1341,18,17,15,2017-06-02
372130603,1073792041,16,2,0,0,2017-06-02
352803492,898746163,3194,3,3,3,2017-06-02
898746163,289647643,33,3,0,0,2017-06-02
517927682,1633008291,60989,3,3,3,2017-06-02
1633008291,1596461864,37,2,1,1,2017-06-02
722892951,1618409803,341,13,10,6,2017-06-02
1618409803,39289471,7,1,0,0,2017-06-02
126917245,1639722367,68,3,2,2,2017-06-02
451580037,1639722367,1138,12,10,10,2017-06-02
738271158,126917245,90,2,2,2,2017-06-02
875194475,1662800680,25399,4,4,4,2017-06-02
1054474252,1662800680,20566,5,5,5,2017-06-02
1596461864,141963075,3865,2,2,2,2017-06-02
1054474252,289647643,12,1,0,0,2017-06-02
141963075,2118077294,2990,1,1,1,2017-06-02
352803492,823871393,12,1,1,0,2017-06-02
141963075,1618409803,503,10,9,6,2017-06-02
1738013984,1412465344,279,9,9,7,2017-06-02
1862985898,1639722367,7,1,0,0,2017-06-02
875194475,141963075,1387,14,12,11,2017-06-02
1596461864,798812950,2,0,0,0,2017-06-02
120344177,589128542,1360,15,15,15,2017-06-02
1639722367,1005168943,6725,9,9,9,2017-06-02
1486352360,126917245,135,2,2,2,2017-06-02
1894345033,1618409803,13,2,0,0,2017-06-02
126917245,664876639,304,2,2,1,2017-06-02
120344177,1633008291,63009,33,33,33,2017-06-02
1639722367,1633008291,63,4,2,2,2017-06-02
1633008291,451580037,37,1,1,1,2017-06-02
1911249844,1618409803,2365,1,1,1,2017-06-02
1596461864,50085297,1875,9,9,9,2017-06-02
722892951,289647643,196,13,6,4,2017-06-02
1048805030,589128542,7,1,0,0,2017-06-02
1073792041,120344177,24603,76,73,69,2017-06-02
451580037,1486352360,58850,4,4,4,2017-06-02
517927682,1073792041,24956,60,59,56,2017-06-02
1054474252,589128542,18,1,1,1,2017-06-02
1020001783,1596461864,29089,2,2,2,2017-06-02
1486352360,39289471,4438,5,5,5,2017-06-02
1633008291,722892951,20,1,1,0,2017-06-02
722892951,126917245,11,1,0,0,2017-06-02
126917245,1738013984,50,1,1,1,2017-06-02
1020001783,1412465344,989,1,1,1,2017-06-02
1618409803,372130603,1,0,0,0,2017-06-02
875194475,722892951,1755,18,12,12,2017-06-02
1946984457,798607520,6565,16,15,14,2017-06-02
1618409803,1649570713,204,7,6,5,2017-06-02
1639722367,898746163,452,6,6,5,2017-06-02
1412465344,1596461864,91,1,1,1,2017-06-02
1996782215,589128542,14,1,0,0,2017-06-02
1075659491,289647643,346,5,5,5,2017-06-02
1894345033,126917245,74232,73,73,73,2017-06-02
1639722367,722892951,125,2,2,2,2017-06-02
722892951,1738013984,20,2,0,0,2017-06-02
1054474252,1946984457,13,1,1,0,2017-06-02
722892951,1662800680,76,4,4,4,2017-06-02
352803492,1777531055,250,1,1,1,2017-06-02
1048805030,141963075,37665,58,57,57,2017-06-02
1164132751,1649570713,25367,9,9,9,2017-06-02
1618409803,875194475,3216,27,25,21,2017-06-02
1486352360,798812950,113,2,2,2,2017-06-02
39289471,1626621083,3390,14,14,14,2017-06-02
372130603,798607520,40,2,2,2,2017-06-02
1894345033,743115867,31625,72,69,69,2017-06-02
289647643,875194475,4,0,0,0,2017-06-02
372130603,208055742,56852,4,4,4,2017-06-02
1633008291,743115867,28760,73,73,72,2017-06-02
1596461864,875194475,23520,3,3,3,2017-06-02
1596461864,352803492,3,0,0,0,2017-06-02
722892951,1996782215,150,8,6,4,2017-06-02
1618409803,289647643,11,1,0,0,2017-06-02
898746163,1911249844,51462,4,4,4,2017-06-02
1626621083,1618409803,20085,3,3,3,2017-06-02
344813644,589128542,161,3,3,2,2017-06-02
738271158,352803492,19242,2,2,2,2017-06-02
1054474252,1073792041,7,0,0,0,2017-06-02
1412465344,798812950,65,1,1,1,2017-06-02
1633008291,352803492,154,4,3,2,2017-06-02
185220184,898746163,38506,6,6,6,2017-06-02
120344177,743115867,32077,80,78,77,2017-06-02
1666138047,1075659491,741,2,2,2,2017-06-02
344813644,1894345033,257,9,7,7,2017-06-02
120344177,185220184,20,1,1,0,2017-06-02
120344177,1639722367,488,8,6,6,2017-06-02
898746163,50085297,2,0,0,0,2017-06-02
1639722367,1486352360,4,0,0,0,2017-06-02
1486352360,614208048,3312,3,3,3,2017-06-02
39289471,1639722367,58165,8,8,8,2017-06-02
722892951,344813644,148,6,6,4,2017-06-02
722892951,1048805030,5,0,0,0,2017-06-02
1633008291,898746163,585,11,11,11,2017-06-02
126917245,823871393,142,8,7,5,2017-06-02
1618409803,185220184,3316,1,1,1,2017-06-02
743115867,589128542,910,5,4,4,2017-06-02
1596461864,1666138047,2,0,0,0,2017-06-02
1633008291,1738013984,56,1,1,1,2017-06-02
898746163,1738013984,13,2,0,0,2017-06-02
451580037,798812950,1298,1,1,1,2017-06-02
39289471,409017060,60102,13,13,12,2017-06-02
875194475,814522479,1267,52,41,36,2017-06-02
1054474252,898746163,1,0,0,0,2017-06-02
1666138047,722892951,773,12,10,8,2017-06-02
1048805030,1649570713,38042,59,59,59,2017-06-02
451580037,352803492,21933,2,2,2,2017-06-02
823871393,722892951,29,1,1,1,2017-06-02
1412465344,208055742,3,0,0,0,2017-06-02
126917245,1073792041,3501,96,86,69,2017-06-02
451580037,2118077294,3828,1,1,1,2017-06-02
126917245,289647643,219,14,6,4,2017-06-02
1075659491,1822997786,102,2,2,2,2017-06-02
898746163,120344177,6,1,0,0,2017-06-02
372130603,722892951,81,3,2,2,2017-06-02
1225960365,722892951,276,6,6,6,2017-06-02
289647643,1946984457,11,0,0,0,2017-06-02
1822997786,589128542,15,1,1,0,2017-06-02
141963075,722892951,7,1,0,0,2017-06-02
1073792041,898746163,34,2,2,1,2017-06-02
451580037,126917245,1983,44,36,33,2017-06-02
875194475,1666138047,5120,174,141,118,2017-06-02
875194475,798607520,5,0,0,0,2017-06-02
1412465344,875194475,2416,1,1,1,2017-06-02
738271158,1486352360,63385,5,5,5,2017-06-02
1738013984,1054474252,187,6,6,5,2017-06-02
1822997786,1639722367,37,1,1,1,2017-06-02
451580037,1618409803,22,1,1,1,2017-06-02
372130603,1822997786,59,3,2,2,2017-06-02
126917245,2118077294,687,13,12,9,2017-06-02
898746163,1822997786,37,1,1,1,2017-06-02
1073792041,1075659491,36,2,2,1,2017-06-02
208055742,875194475,5332,204,156,128,2017-06-02
1738013984,1151049880,80,1,1,1,2017-06-02
1075659491,722892951,49,1,1,1,2017-06-02
185220184,1911249844,39363,4,4,4,2017-06-02
1596461864,1054474252,21372,3,3,3,2017-06-02
1225960365,409017060,68782,8,8,8,2017-06-02
1054474252,1815180464,3,0,0,0,2017-06-02
39289471,1946984457,13,1,0,0,2017-06-02
1633008291,1822997786,41,1,1,1,2017-06-02
126917245,1815180464,22,1,1,1,2017-06-02
1596461864,126917245,1080,35,25,20,2017-06-02
823871393,1738013984,69131,376,366,355,2017-06-02
1996782215,185220184,4,0,0,0,2017-06-02
1596461864,722892951,40,2,2,1,2017-06-02
1738013984,1911249844,241,1,1,1,2017-06-02
722892951,1822997786,400,9,9,8,2017-06-02
1075659491,1639722367,78724,4,4,4,2017-06-02
722892951,50085297,4,0,0,0,2017-06-02
451580037,1596461864,737,1,1,1,2017-06-02
344813644,1623619054,20,1,1,1,2017-06-02
126917245,1626621083,113,4,3,2,2017-06-02
1822997786,1946984457,61,1,1,1,2017-06-02
1738013984,1946984457,23,1,1,1,2017-06-02
1662800680,1412465344,2608,1,1,1,2017-06-02
1486352360,1738013984,2869,38,35,29,2017-06-02
126917245,875194475,648,13,11,10,2017-06-02
898746163,823871393,1,0,0,0,2017-06-02
1412465344,126917245,38,1,1,1,2017-06-02
1075659491,50085297,1,0,0,0,2017-06-02
39289471,1225960365,60700,13,13,13,2017-06-02
1054474252,39289471,4050,3,3,3,2017-06-02
39289471,185220184,3961,3,3,3,2017-06-02
185220184,1666138047,4611,30,26,25,2017-06-02
1777531055,1075659491,2,0,0,0,2017-06-02
1054474252,823871393,250,8,6,6,2017-06-02
1412465344,823871393,8,1,0,0,2017-06-02
1225960365,1075659491,78458,4,4,4,2017-06-02
409017060,798607520,3074,110,92,73,2017-06-02
875194475,1822997786,13,1,0,0,2017-06-02
1596461864,1822997786,6,1,0,0,2017-06-02
344813644,743115867,621,10,7,6,2017-06-02
1639722367,1738013984,12,1,0,0,2017-06-02
126917245,743115867,32064,81,80,78,2017-06-02
451580037,1822997786,1103,6,6,6,2017-06-02
39289471,372130603,21993,5,5,5,2017-06-02
