A,B,Weight,5,10,15,Date
126917245,409017060,8,1,0,0,2017-06-01
120344177,409017060,15,1,1,0,2017-06-01
1662800680,798812950,8704,3,3,3,2017-06-01
352803492,589128542,11180,5,4,4,2017-06-01
1623619054,1946984457,45,2,2,2,2017-06-01
126917245,1507003269,22588,101,95,89,2017-06-01
1412465344,409017060,2,0,0,0,2017-06-01
743115867,372130603,336,11,8,6,2017-06-01
185220184,1946984457,40,2,2,1,2017-06-01
664876639,344813644,8064,242,208,163,2017-06-01
1054474252,823871393,2,0,0,0,2017-06-01
517927682,664876639,78122,138,137,136,2017-06-01
451580037,1649570713,2150,42,37,33,2017-06-01
120344177,823871393,2,0,0,0,2017-06-01
743115867,1649570713,574,28,18,13,2017-06-01
722892951,1075659491,782,10,9,9,2017-06-01
743115867,1164132751,35,1,1,1,2017-06-01
126917245,344813644,20967,625,533,441,2017-06-01
1639722367,1946984457,9622,7,7,7,2017-06-01
875194475,1639722367,13,2,0,0,2017-06-01
1412465344,1661934886,10,0,0,0,2017-06-01
898746163,2012117719,1,0,0,0,2017-06-01
141963075,1164132751,45410,3,3,3,2017-06-01
589128542,344813644,334,10,9,7,2017-06-01
743115867,1073792041,11877,232,203,173,2017-06-01
1020001783,1054474252,17240,5,5,5,2017-06-01
352803492,1596461864,260,8,8,7,2017-06-01
1486352360,1626621083,3,0,0,0,2017-06-01
39289471,898746163,62,3,3,2,2017-06-01
1662800680,1946984457,4647,3,3,3,2017-06-01
352803492,1738013984,432,5,5,4,2017-06-01
1649570713,1164132751,12133,4,4,4,2017-06-01
120344177,614208048,34,2,2,1,2017-06-01
372130603,823871393,2,0,0,0,2017-06-01
1639722367,798812950,6389,3,3,3,2017-06-01
1596461864,898746163,74,2,2,2,2017-06-01
141963075,1075659491,3,0,0,0,2017-06-01
2012117719,743115867,5279,25,23,22,2017-06-01
1738013984,875194475,3,0,0,0,2017-06-01
1633008291,1626621083,207,10,6,6,2017-06-01
589128542,743115867,2617,34,24,22,2017-06-01
120344177,1666138047,10,1,0,0,2017-06-01
589128542,2012117719,72,4,2,2,2017-06-01
722892951,1967567786,33,1,1,1,2017-06-01
664876639,1633008291,67043,147,146,141,2017-06-01
1946984457,39289471,466,9,8,8,2017-06-01
743115867,898746163,1363,42,35,25,2017-06-01
1946984457,344813644,11,1,1,0,2017-06-01
1894345033,1815180464,59,3,2,2,2017-06-01
409017060,1623619054,4,0,0,0,2017-06-01
743115867,426300644,16,1,1,1,2017-06-01
1777531055,875194475,2,0,0,0,2017-06-01
1623619054,664876639,58275,377,360,341,2017-06-01
409017060,1633008291,8,1,0,0,2017-06-01
1894345033,344813644,28087,646,570,476,2017-06-01
1073792041,1633008291,57146,378,327,277,2017-06-01
126917245,2012117719,8269,56,54,49,2017-06-01
39289471,798607520,4401,51,46,44,2017-06-01
1596461864,1073792041,4,0,0,0,2017-06-01
1662800680,798607520,3,0,0,0,2017-06-01
1486352360,372130603,1,0,0,0,2017-06-01
875194475,1020001783,59374,6,6,5,2017-06-01
664876639,409017060,3,0,0,0,2017-06-01
352803492,1618409803,42,1,1,1,2017-06-01
589128542,798812950,5926,2,2,2,2017-06-01
1626621083,875194475,6,0,0,0,2017-06-01
185220184,1666138047,755,3,3,3,2017-06-01
743115867,50085297,2,0,0,0,2017-06-01
1633008291,1618409803,68,4,2,2,2017-06-01
185220184,722892951,432,9,7,6,2017-06-01
1666138047,589128542,58238,22,21,20,2017-06-01
372130603,1738013984,8,1,0,0,2017-06-01
722892951,2118077294,68,3,2,2,2017-06-01
451580037,898746163,7894,11,9,8,2017-06-01
352803492,1073792041,3,0,0,0,2017-06-01
1618409803,1666138047,27,2,1,1,2017-06-01
1073792041,1618409803,2,0,0,0,2017-06-01
1946984457,614208048,7084,3,3,3,2017-06-01
1649570713,2012117719,238,2,2,1,2017-06-01
1486352360,898746163,6029,3,3,3,2017-06-01
1894345033,653676740,2,0,0,0,2017-06-01
352803492,39289471,255,2,2,2,2017-06-01
1412465344,653676740,56891,4,4,4,2017-06-01
1777531055,1822997786,7665,33,31,30,2017-06-01
1412465344,1486352360,1,0,0,0,2017-06-01
289647643,1075659491,21,2,1,0,2017-06-01
50085297,1412465344,538,5,5,5,2017-06-01
743115867,208055742,419,12,9,6,2017-06-01
352803492,1075659491,2,0,0,0,2017-06-01
1412465344,2012117719,127,2,2,2,2017-06-01
2012117719,1633008291,12354,49,46,46,2017-06-01
1073792041,2012117719,52751,92,91,88,2017-06-01
722892951,1649570713,1099,25,22,17,2017-06-01
1862985898,1777531055,2563,2,2,2,2017-06-01
1946984457,1618409803,28,1,1,1,2017-06-01
1649570713,1618409803,10,0,0,0,2017-06-01
1596461864,1020001783,58133,21,21,21,2017-06-01
2012117719,722892951,201,3,3,2,2017-06-01
289647643,517927682,18,1,1,1,2017-06-01
372130603,1639722367,1041,2,2,2,2017-06-01
39289471,798812950,6357,5,5,5,2017-06-01
875194475,1054474252,21973,72,69,61,2017-06-01
743115867,1815180464,29,1,1,1,2017-06-01
722892951,743115867,463,15,12,10,2017-06-01
1054474252,1661934886,21935,41,39,39,2017-06-01
1996782215,722892951,1112,34,31,28,2017-06-01
185220184,614208048,7526,2,2,2,2017-06-01
1626621083,722892951,155,8,7,5,2017-06-01
1412465344,1996782215,3,0,0,0,2017-06-01
1639722367,1777531055,12660,6,6,6,2017-06-01
352803492,451580037,61751,6,6,6,2017-06-01
372130603,1073792041,18,1,1,0,2017-06-01
589128542,185220184,14220,10,9,7,2017-06-01
352803492,898746163,21,2,0,0,2017-06-01
